mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	2/2	2	1	F.I[I	F	I	I	I	I							M	0	0	-1, 3, 0		-1	-1	0	5	0.0	0.0	2.125	0.0
2	2	0	0	2/2	2	1	viio6]	F	I	I	viio6	vii	o	6					o	0	0	1, -2, 4		4	1	4	2	0.6666666666666666	1.25	0.75	0.625
2	2	1/2	1/2	2/2	2	1	V7/IV	F	I		V7/IV	V		7		IV			Mm7	0	0	-1, 3, 0, -3		-1	-1	2	5	0.2857142857142857	0.125	1.375	0.08333333333333333
3	3	0	0	2/2	2	1	ii6(112)	F	I		ii6(112)	ii		6	112				m	0	0	-2, 2, 3	0	1	-2	1	5	0.16666666666666666	0.0	2.5	0.0
3	3	1/2	1/2	2/2	2	1	ii6	F	I		ii6	ii		6					m	0	0	-2, 2, 1		1	-2	3	5	0.375	0.25	1.25	0.16666666666666666
4	4	0	0	2/2	2	1	V65	F	I		V65	V		65					Mm7	0	0	4, 1, -2, 0		0	4	0	5	0.0	0.0	1.125	0.0
4	4	1/4	1/4	2/2	2	1	I	F	I		I	I							M	0	0	-1, 3, 0		-1	-1	2	2	0.5	0.125	0.5	0.2
4	4	1/2	1/2	2/2	2	1	IV.IV(2)	F	IV		IV(2)	IV			2				M	0	0	-1, 1, -2		-3	-1	0	3	0.0	0.0	1.125	0.0
4	4	3/4	3/4	2/2	2	1	IV	F	IV		IV	IV							M	0	0	-3, 1, -2		-3	-3	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
5	5	0	0	2/2	2	1	V2	F	IV		V2	V		2					Mm7	0	0	-3, -1, 3, 0		-1	-3	1	3	0.25	0.5	1.125	0.3076923076923077
5	5	3/8	3/8	2/2	2	1	I6	F	IV		I6	I		6					M	0	0	2, -1, -2		-2	2	1	1	0.5	0.0625	0.0625	0.5
5	5	1/2	1/2	2/2	2	1	vi64	F	IV		vi64	vi		64					m	0	0	2, 1, -2		1	2	1	2	0.3333333333333333	0.0	0.625	0.0
5	5	3/4	3/4	2/2	2	1	viio6	F	IV		viio6	vii	o	6					o	0	0	0, -3, 3		3	0	0	3	0.0	0.0	0.625	0.0
6	6	0	0	2/2	2	1	I	F	IV		I	I							M	0	0	-2, 2, -1		-2	-2	2	3	0.4	0.25	0.875	0.2222222222222222
6	6	3/8	3/8	2/2	2	1	I.viio6	F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	3	3	0.5	0.3125	0.6875	0.3125
6	6	7/8	7/8	2/2	2	1	I	F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	1	0.0	0.0	0.125	0.0
7	7	0	0	2/2	2	1	V\\	F	I		V	V						\\	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	1.5	0.0
7	7	1/4	1/4	2/2	2	1	V7	F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	2	0.0	0.0	0.375	0.0
7	7	1/2	1/2	2/2	2	1	I64	F	I		I64	I		64					M	0	0	0, -1, 3		-1	0	1	2	0.3333333333333333	0.0	0.625	0.0
7	7	3/4	3/4	2/2	2	1	V	F	I		V	V							M	0	0	0, 4, 1		0	0	0	2	0.0	0.0	0.375	0.0
8	8	0	0	2/2	2	1	I	F	I		I	I							M	0	0	-1, 3, 0		-1	-1	4	5	0.4444444444444444	0.5	2.0	0.2
8	8	3/4	3/4	2/2	2	1	V.V65/V	F	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6	0	3	0.0	0.0	0.5	0.0
9	9	0	0	2/2	2	1	V\\	F	V		V	V						\\	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	1.0	0.0
9	9	1/4	1/4	2/2	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.875	0.0
9	9	1/2	1/2	2/2	2	1	IVM2(9)	F	V		IVM2(9)	IV	M	2	9				MM7	0	0	4, -1, 3, 0	1	-1	4	0	5	0.0	0.0	1.25	0.0
9	9	3/4	3/4	2/2	2	1	vii65(2)	F	V		vii65(2)	vii		65	2				mm7	0	0	2, 6, 3, 0		5	2	1	3	0.25	0.25	0.625	0.2857142857142857
9	9	7/8	7/8	2/2	2	1	vii65	F	V		vii65	vii		65					mm7	0	0	2, 6, 3, 5		5	2	0	1	0.0	0.0	0.125	0.0
10	10	0	0	2/2	2	1	iii2(94)	F	V		iii2(94)	iii		2	94				mm7	0	0	2, 4, 3, 5	-1	4	2	0	5	0.0	0.0	1.375	0.0
10	10	1/8	1/8	2/2	2	1	iii2(9)	F	V		iii2(9)	iii		2	9				mm7	0	0	2, 4, 1, 5	-1	4	2	0	1	0.0	0.0	0.125	0.0
10	10	1/4	1/4	2/2	2	1	vi65(2)	F	V		vi65(2)	vi		65	2				mm7	0	0	0, 4, 1, 5		3	0	0	4	0.0	0.0	1.125	0.0
10	10	3/8	3/8	2/2	2	1	vi65	F	V		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0	0	1	0.0	0.0	0.125	0.0
10	10	1/2	1/2	2/2	2	1	ii2(94)	F	V		ii2(94)	ii		2	94				mm7	0	0	0, 2, 1, 3	4	2	0	0	4	0.0	0.0	1.125	0.0
10	10	5/8	5/8	2/2	2	1	ii2(9)	F	V		ii2(9)	ii		2	9				mm7	0	0	0, 2, -1, 3	4	2	0	0	1	0.0	0.0	0.125	0.0
10	10	3/4	3/4	2/2	2	1	V65(2)	F	V		V65(2)	V		65	2				Mm7	0	0	5, 2, -1, 3		1	5	0	4	0.0	0.0	0.875	0.0
10	10	7/8	7/8	2/2	2	1	V65	F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5	0	1	0.0	0.0	0.125	0.0
11	11	0	0	2/2	2	1	I(94)	F	V		I(94)	I			94				M	0	0	0, -1, 1	2	0	0	0	5	0.0	0.0	1.5	0.0
11	11	1/8	1/8	2/2	2	1	I(9)	F	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0	0	1	0.0	0.0	0.125	0.0
11	11	1/4	1/4	2/2	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.875	0.0
11	11	1/2	1/2	2/2	2	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1	1	3	0.25	0.125	0.875	0.125
11	11	3/4	3/4	2/2	2	1	I64	F	V		I64	I		64					M	0	0	1, 0, 4		0	1	1	2	0.3333333333333333	0.125	0.375	0.25
12	12	0	0	2/2	2	1	IV6	F	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3	1	4	0.2	0.125	1.375	0.08333333333333333
12	12	1/4	1/4	2/2	2	1	IV7	F	V		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1	1	2	0.3333333333333333	0.125	0.375	0.25
12	12	1/2	1/2	2/2	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1	2	6	0.25	0.375	1.5	0.2
12	12	7/8	7/8	2/2	2	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1	0	1	0.0	0.0	0.125	0.0
13	13	0	0	2/2	2	1	I[I\\	F	V	I	I	I						\\	M	0	0	0, 4, 1		0	0	1	4	0.2	0.0	0.625	0.0
13	13	1/4	1/4	2/2	2	1	I.V7	F	I	V	V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	3	7	0.3	0.375	1.875	0.16666666666666666
