mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	2	1	b.i				b	i		i	i							m	1	1	5, 2, 6		5	5	3	4	0.42857142857142855	0.1875	0.5	0.2727272727272727
2	2	0	0	3/8	2	1	V6				b	i		V6	V		6					M	1	1	10, 7, 6		6	10	1	3	0.25	0.0625	0.4375	0.125
2	2	1/4	1/4	3/8	2	1	v6				b	i		v6	v		6					m	1	1	3, 7, 6		6	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
3	3	0	0	3/8	2	1	IV6				b	i		IV6	IV		6					M	1	1	8, 5, 4		4	8	2	3	0.4	0.0625	0.4375	0.125
3	3	1/4	1/4	3/8	2	1	iv6				b	i		iv6	iv		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	0	0	3/8	2	1	V	-0.135547	-4.66876	/	b	i		V	V							M	1	1	6, 10, 7		6	6	2	5	0.2857142857142857	0.125	0.625	0.16666666666666666
4	4	1/4	1/4	3/8	2	1	i6	0	-4.39766	/	b	i		i6	i		6					m	1	1	2, 6, 5		5	2	0	3	0.0	0.0	0.375	0.0
5	5	0	0	3/8	2	1	iio6	0	-4.5	/	b	i		iio6	ii	o	6					o	1	1	4, 1, 7		7	4	0	3	0.0	0.0	0.375	0.0
5	5	1/8	1/8	3/8	2	1	V(64)	0	-4.5	/	b	i		V(64)	V			64				M	1	1	6, 5, 2		6	6	0	4	0.0	0.0	0.625	0.0
5	5	1/4	1/4	3/8	2	1	V	0	-4.5	/	b	i		V	V							M	1	1	6, 10, 7		6	6	0	3	0.0	0.0	0.375	0.0
6	6	0	0	3/8	2	1	i\\	0	-4.5	/	b	i		i	i						\\	m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	0.4375	0.0
6	6	1/8	1/8	3/8	2	1	VI6				b	i		VI6	VI		6					M	1	1	5, 2, 1		1	5	2	3	0.4	0.125	0.4375	0.2222222222222222
7	7	0	0	3/8	2	1	V6(9)				b	i		V6(9)	V		6	9				M	1	1	10, 7, 6	1	6	10	1	3	0.25	0.0625	0.4375	0.125
7	7	1/8	1/8	3/8	2	1	V6	0.135547	-2.77109	/	b	i		V6	V		6					M	1	1	10, 7, 6		6	10	1	1	0.5	0.0625	0.25	0.2
7	7	1/4	1/4	3/8	2	1	v6				b	i		v6	v		6					m	1	1	3, 7, 6		6	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	8	0	0	3/8	2	1	IV6(9)				b	i		IV6(9)	IV		6	9				M	1	1	8, 5, 4	6	4	8	1	3	0.25	0.0625	0.4375	0.125
8	8	1/8	1/8	3/8	2	1	IV6	0.135547	-2.36445	/	b	i		IV6	IV		6					M	1	1	8, 5, 4		4	8	1	1	0.5	0.0625	0.25	0.2
8	8	1/4	1/4	3/8	2	1	iv6				b	i		iv6	iv		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
9	9	0	0	3/8	2	1	V7				b	i		V7	V		7					Mm7	1	1	6, 10, 7, 4		6	6	0	4	0.0	0.0	0.375	0.0
9	9	1/8	1/8	3/8	2	1	i	0.542189	-4.12657	/	b	i		i	i							m	1	1	5, 2, 6		5	5	1	6	0.14285714285714285	0.03125	0.90625	0.03333333333333333
10	10	0	0	3/8	2	1	V\\				b	i		V	V						\\	M	1	1	6, 10, 7		6	6	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
10	10	1/8	1/8	3/8	2	1	v	-0.271095	-3.71993	/	b	i		v	v							m	1	1	6, 3, 7		6	6	2	3	0.4	0.125	0.4375	0.2222222222222222
11	11	0	0	3/8	2	1	V65/iv				b	i		V65/iv	V		65		iv			Mm7	1	1	9, 6, 3, 5		5	9	0	6	0.0	0.0	0.5625	0.0
11	11	1/4	1/4	3/8	2	1	V/iv				b	i		V/iv	V				iv			M	1	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	12	0	0	3/8	2	1	iv				b	i		iv	iv							m	1	1	4, 1, 5		4	4	3	5	0.375	0.1875	0.75	0.2
13	13	0	0	3/8	2	1	III.V65				b	III		V65	V		65					Mm7	1	0	7, 4, 1, 3		3	7	0	6	0.0	0.0	0.5625	0.0
13	13	1/4	1/4	3/8	2	1	V	0	-4.5	/	b	III		V	V							M	1	0	3, 7, 4		3	3	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	14	0	0	3/8	2	1	I	0	-5.5	/	b	III		I	I							M	1	0	2, 6, 3		2	2	0	5	0.0	0.0	0.5625	0.0
14	14	1/4	1/4	3/8	2	1	IV	0	-3.5	/	b	III		IV	IV							M	1	0	1, 5, 2		1	1	2	3	0.4	0.125	0.375	0.25
15	15	1/8	1/8	3/8	2	1	ii	0	-3.5	/	b	III		ii	ii							m	1	0	4, 1, 5		4	4	0	4	0.0	0.0	0.4375	0.0
16	16	0	0	3/8	2	1	V	0	-5.5	/	b	III		V	V							M	1	0	3, 7, 4		3	3	2	3	0.4	0.125	0.4375	0.2222222222222222
16	16	1/4	1/4	3/8	2	1	iii	0	-6.5	/	b	III		iii	iii							m	1	0	6, 3, 7		6	6	0	5	0.0	0.0	0.5	0.0
17	17	1/8	1/8	3/8	2	1	vi	-0.220708	-6.47275	/	b	III		vi	vi							m	1	0	5, 2, 6		5	5	2	2	0.5	0.125	0.3125	0.2857142857142857
18	18	0	0	3/8	2	1	IV	0	-6.43985	/	b	III		IV	IV							M	1	0	1, 5, 2		1	1	0	5	0.0	0.0	0.5625	0.0
18	18	1/4	1/4	3/8	2	1	viio	-0.110354	-6.80381	/	b	III		viio	vii	o						o	1	0	7, 4, 1		7	7	2	3	0.4	0.125	0.375	0.25
19	19	1/8	1/8	3/8	2	1	V	0	-2.38965	/	b	III		V	V							M	1	0	3, 7, 4		3	3	0	1	0.0	0.0	0.0625	0.0
19	19	3/16	3/16	3/8	2	1	viio64				b	III		viio64	vii	o	64					o	1	0	1, 7, 4		7	1	0	2	0.0	0.0	0.125	0.0
19	19	1/4	1/4	3/8	2	1	I6				b	III		I6	I		6					M	1	0	6, 3, 2		2	6	0	2	0.0	0.0	0.125	0.0
