mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	A.I{					A	I		I	I						{	M	0	0	3, 7, 4		3	3	3	7	0.3	0.25	1.1875	0.17391304347826086
1	1	1/2	1/2	4/4	2	1	ii2	0	-6.15978	/		A	I		ii2	ii		2					mm7	0	0	3, 5, 2, 6		5	3	1	4	0.2	0.0625	0.625	0.09090909090909091
1	1	3/4	3/4	4/4	2	1	V65	0	-4.93985	/		A	I		V65	V		65					Mm7	0	0	8, 5, 2, 4		4	8	1	7	0.125	0.0625	0.75	0.07692307692307693
2	2	0	0	4/4	2	1	I(9)					A	I		I(9)	I			9				M	0	0	3, 7, 4	5	3	3	0	7	0.0	0.0	0.6875	0.0
2	2	1/4	1/4	4/4	2	1	I6					A	I		I6	I		6					M	0	0	7, 4, 3		3	7	1	6	0.14285714285714285	0.0625	0.625	0.09090909090909091
2	2	1/2	1/2	4/4	2	1	ii65					A	I		ii65	ii		65					mm7	0	0	2, 6, 3, 5		5	2	2	4	0.3333333333333333	0.125	0.8125	0.13333333333333333
2	2	3/4	3/4	4/4	2	1	V65/V					A	I		V65/V	V		65		V			Mm7	0	0	9, 6, 3, 5		5	9	2	7	0.2222222222222222	0.020833333333333332	0.8333333333333334	0.024390243902439022
3	3	0	0	4/4	2	1	V(94)	0	-4.26211	/		A	I		V(94)	V			94				M	0	0	4, 3, 5	6	4	4	1	7	0.125	0.020833333333333332	1.4166666666666667	0.014492753623188404
3	3	1/4	1/4	4/4	2	1	V	0	-5.21095	/		A	I		V	V							M	0	0	4, 8, 5		4	4	0	6	0.0	0.0	0.75	0.0
3	3	1/2	1/2	4/4	2	1	IV6(2)	0	-6.83751	/		A	I		IV6(2)	IV		6	2				M	0	0	6, 3, 4		2	6	2	2	0.5	0.125	0.4375	0.2222222222222222
3	3	5/8	5/8	4/4	2	1	IV6					A	I		IV6	IV		6					M	0	0	6, 3, 2		2	6	1	3	0.25	0.020833333333333332	0.16666666666666666	0.1111111111111111
3	3	3/4	3/4	4/4	2	1	V65	0	-6.70197	/		A	I		V65	V		65					Mm7	0	0	8, 5, 2, 4		4	8	1	4	0.2	0.0625	0.6875	0.08333333333333333
4	4	0	0	4/4	2	1	I|IAC}	0	-5.34649	/		A	I		I	I					IAC	}	M	0	0	3, 7, 4		3	3	3	8	0.2727272727272727	0.14583333333333334	1.3541666666666667	0.09722222222222222
4	4	1/2	1/2	4/4	2	1	vi[i/vi{	-0.406642	-3.58438	/		A	I	vi	i/vi	i				vi		{	m	0	0	6, 3, 7		6	6	5	6	0.45454545454545453	0.25	1.0625	0.19047619047619047
5	5	0	0	4/4	2	1	V65(6)/vi					A	I	vi	V65(6)/vi	V		65	6	vi			Mm7	0	0	11, 3, 5, 7		7	11	1	6	0.14285714285714285	0.5	1.0	0.3333333333333333
5	5	1/4	1/4	4/4	2	1	V7/vi					A	I	vi	V7/vi	V		7		vi			Mm7	0	0	7, 11, 8, 5		7	7	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
5	5	1/2	1/2	4/4	2	1	vi6(9)	0.135547	-3.44883	/		A	I	vi	vi6(9)	vi		6	9				m	0	0	3, 7, 6	8	6	3	2	4	0.3333333333333333	0.125	0.875	0.125
5	5	3/4	3/4	4/4	2	1	vi]					A	I	vi	vi	vi							m	0	0	6, 3, 7		6	6	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
6	6	0	0	4/4	2	1	I6(119)/V	0.135547	-4.53321	/		A	I		I6(119)/V	I		6	119	V			M	0	0	8, 5, 4	3, 6	4	8	3	5	0.375	0.15625	0.96875	0.1388888888888889
6	6	1/4	1/4	4/4	2	1	I6/V					A	I		I6/V	I		6		V			M	0	0	8, 5, 4		4	8	1	3	0.25	0.0	0.5625	0.0
6	6	3/8	3/8	4/4	2	1	I/V	0.677736	-3.85548	/		A	I		I/V	I				V			M	0	0	4, 8, 5		4	4	1	1	0.5	0.0625	0.125	0.3333333333333333
6	6	1/2	1/2	4/4	2	1	V.V|HC}					A	V		V	V					HC	}	M	0	0	5, 9, 6		5	5	1	5	0.16666666666666666	0.0	0.75	0.0
6	6	3/4	3/4	4/4	2	1	iii6{	0	-4.53321	/		A	V		iii6	iii		6				{	m	0	0	5, 9, 8		8	5	5	7	0.4166666666666667	0.0	1.1875	0.0
