mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0						Mesuré	108.0			1.0	
1	1	0	0	0.0	0	0	Tempo	3/8	1	1	0						𝅘𝅥.=58	87.0	𝅘𝅥.	58.0	0.0	
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	0							
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	1							
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	2							
1	1	1	1	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	3							
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	4							
1	1	0	0	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	5	ornamentShortTrill						
1	1	1	1	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	6							0
2	2	3/2	3/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	7	articMarcatoAbove						
2	2	2	2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	8							
2	2	9/4	9/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	9							
2	2	5/2	5/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	10							
2	2	11/4	11/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	11							
2	2	3/2	3/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	12	articMarcatoAbove						
2	2	5/2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	13	ornamentShortTrill						1
3	3	3	3	0.0	0	0	Chord	3/8	1	1	0	appoggiatura	1/8	1	14							
3	3	3	3	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	15							
3	3	7/2	7/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	16							
3	3	15/4	15/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	17							
3	3	4	4	0.25	1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	18							
3	3	17/4	17/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	19							
3	3	3	3	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	20	articMarcatoAbove						
3	3	4	4	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	21	ornamentShortTrill						
4	4	9/2	9/2	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	22	articMarcatoAbove						
4	4	5	5	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	23							
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	24							
4	4	9/2	9/2	1.0	0	0	Chord	3/8	1	2	1/4		1/4	1	25							
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	26							
4	4	9/2	9/2	0.25	0	0	Chord	3/8	2	1	1/16		1/16	1	27							
4	4	19/4	19/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	28							
4	4	5	5	0.25	1/8	1/8	Chord	3/8	2	1	1/16		1/16	1	29							
4	4	21/4	21/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16		1/16	1	30							
4	4	11/2	11/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	31							
5	5	6	6	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	32							
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	33	articMarcatoAbove						
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	34							
5	5	6	6	0.5	0	0	Chord	3/8	1	2	1/8		1/8	1	35							
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	36							
5	5	7	7	0.5	1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	37							
5	5	6	6	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	38							
5	5	13/2	13/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	39							
5	5	7	7	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	40							
5	5	13/2	13/2	1.0	1/8	1/8	Chord	3/8	2	2	1/4		1/4	1	41							
6	6	15/2	15/2	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	42							
6	6	31/4	31/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	43							
6	6	8	8	1.0	1/8	1/8	Chord	3/8	1	1	1/4		1/4	1	44							
6	6	15/2	15/2	0.25	0	0	Chord	3/8	1	2	1/16		1/16	1	45							
6	6	33/4	33/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	46							
6	6	17/2	17/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16		1/16	1	47							
6	6	35/4	35/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16		1/16	1	48							
6	6	15/2	15/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	49	ornamentShortTrill						
6	6	17/2	17/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	50							2
7	7	9	9	0.25	0	0	Chord	3/8	1	1	1/16		1/16	1	51							
7	7	37/4	37/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	52							
