mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0						𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	0							
1	1	0	0	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	1	ornamentShortTrill						
1	1	2	2	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	2							
1	1	0	0	2.0	0	0	Chord	2/2	2	2	1/2		1/2	1	3							
1	1	2	2	2.0	1/2	1/2	Chord	2/2	2	2	1/2		1/2	1	4							0
2	2	4	4	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	5							
2	2	4	4	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	6							
2	2	5	5	0.5	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	7							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	8							
2	2	6	6	0.0	1/2	1/2	Chord	2/2	1	1	0	appoggiatura	1/8	1	9							
2	2	6	6	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	10							
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	11							
2	2	6	6	0.5	1/2	1/2	Chord	2/2	1	2	1/8		1/8	1	12							
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	1	2	1/8		1/8	1	13							
2	2	7	7	1.0	3/4	3/4	Chord	2/2	1	2	1/4		1/4	1	14							
2	2	4	4	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	15							
2	2	6	6	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	16							
2	2	4	4	4.0	0	0	Chord	2/2	2	2	1		1	1	17							
3	3	8	8	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	18							
3	3	8	8	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	19							
3	3	10	10	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	20							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	21							
3	3	11	11	0.0	3/4	3/4	Chord	2/2	1	1	0	appoggiatura	1/8	1	22							
3	3	11	11	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	23							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	24							
3	3	8	8	1.5	0	0	Chord	2/2	1	2	3/8		1/4	3/2	25							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8		1/8	1	26							
3	3	10	10	0.0	1/2	1/2	Chord	2/2	1	2	0	appoggiatura	1/8	1	27							
3	3	10	10	2.0	1/2	1/2	Chord	2/2	1	2	1/2		1/2	1	28							
3	3	8	8	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	29							
3	3	10	10	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	30							
3	3	8	8	4.0	0	0	Chord	2/2	2	2	1		1	1	31							
4	4	12	12	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	32							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	33							
4	4	14	14	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	34	articMarcatoAbove						1
4	4	31/2	31/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16		1/16	1	35							1
4	4	63/4	63/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16		1/16	1	36							1
4	4	12	12	0.5	0	0	Chord	2/2	1	2	1/8		1/8	1	37							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	2	1/8		1/8	1	38							
4	4	13	13	0.0	1/4	1/4	Chord	2/2	1	2	0	appoggiatura	1/8	1	39							
4	4	13	13	1.0	1/4	1/4	Chord	2/2	1	2	1/4		1/4	1	40							
4	4	12	12	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	41							
4	4	14	14	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	42							
4	4	12	12	1.0	0	0	Chord	2/2	2	2	1/4		1/4	1	43							
4	4	13	13	1.0	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	44							
4	4	14	14	1.0	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	45							
4	4	15	15	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	46							
5	5	16	16	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	47							
5	5	35/2	35/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	48							
5	5	71/4	71/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	49							
5	5	18	18	0.0	1/2	1/2	Chord	2/2	1	1	0	appoggiatura	1/8	1	50							
5	5	18	18	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	51	ornamentShortTrill						
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	52							
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	53							
5	5	18	18	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	54							
5	5	19	19	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	55							
5	5	16	16	1.0	0	0	Chord	2/2	2	2	1/4		1/4	1	56							
5	5	17	17	2.0	1/4	1/4	Chord	2/2	2	2	1/2		1/2	1	57							
5	5	19	19	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	58							
6	6	20	20	0.0	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	59							
6	6	20	20	1.5	0	0	Chord	2/2	1	1	3/8		1/4	3/2	60	ornamentShortTrill						
6	6	43/2	43/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	61							
6	6	87/4	87/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	62							
6	6	22	22	0.0	1/2	1/2	Chord	2/2	1	1	0	appoggiatura	1/8	1	63							
6	6	22	22	1.5	1/2	1/2	Chord	2/2	1	1	3/8		1/4	3/2	64	ornamentShortTrill						
6	6	47/2	47/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	65							
6	6	20	20	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	66							
6	6	22	22	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	67	articMarcatoAbove						
6	6	23	23	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	68							
6	6	20	20	1.0	0	0	Chord	2/2	2	2	1/4		1/4	1	69							
6	6	21	21	1.0	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	70							
