mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	Tempo	4/4	1	1	0						𝅘𝅥=55	55.0	𝅘𝅥	55.0	0.0	
1	0	3/4	3/4	0.25	3/16	11/16	Chord	4/4	1	1	1/16		1/16	1	0							
1	0	1	1	0.75	1/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	1	ornamentShortTrill						
1	0	7/4	7/4	0.25	7/16	15/16	Chord	4/4	1	1	1/16		1/16	1	2							
2	1	2	2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	3							
2	1	5/2	5/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	4							0
2	1	3	3	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	5							
2	1	4	4	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	6							
2	1	19/4	19/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	7							
2	1	5	5	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	8	ornamentShortTrill						
2	1	23/4	23/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	9							
2	1	3	3	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	10							
2	1	7/2	7/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	11							
2	1	4	4	0.75	1/2	1/2	Chord	4/4	1	2	3/16		1/8	3/2	12							
2	1	2	2	4.0	0	0	Chord	4/4	2	1	1		1	1	13	ornamentShortTrill						
2	1	4	4	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	14							
3	2	6	6	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	15							
3	2	27/4	27/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	16							1
3	2	7	7	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	17							1
3	2	15/2	15/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	18							
3	2	8	8	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	19							
3	2	35/4	35/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	20							
3	2	9	9	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	21	ornamentShortTrill						
3	2	39/4	39/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	22							
3	2	31/4	31/4	0.08333333333333333	7/16	7/16	Chord	4/4	2	1	1/48		1/32	2/3	23							
3	2	47/6	47/6	0.08333333333333333	11/24	11/24	Chord	4/4	2	1	1/48		1/32	2/3	24							
3	2	95/12	95/12	0.08333333333333333	23/48	23/48	Chord	4/4	2	1	1/48		1/32	2/3	25							
3	2	8	8	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	26							
3	2	6	6	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	27							
3	2	8	8	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	28							
3	2	31/4	31/4	0.25	7/16	7/16	Chord	4/4	2	3	1/16		1/16	1	29							
3	2	8	8	2.0	1/2	1/2	Chord	4/4	2	3	1/2		1/2	1	30							
4	3	10	10	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	31							
4	3	21/2	21/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	32							
4	3	11	11	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	33							
4	3	12	12	0.75	1/2	1/2	Chord	4/4	1	1	3/16		1/8	3/2	34							
4	3	51/4	51/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	35							
4	3	13	13	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	36	ornamentShortTrill						
4	3	55/4	55/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	37							
4	3	11	11	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	38							
4	3	23/2	23/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	39							
4	3	12	12	0.75	1/2	1/2	Chord	4/4	1	2	3/16		1/8	3/2	40							
4	3	10	10	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	41							
