mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	6/8	3/4	0	3	firstMeasure					2
2	2	1	6/8	3/4	0	3						3
3	3	1	6/8	3/4	0	3						4
4	4	1	6/8	3/4	0	3						5
5	5	1	6/8	3/4	0	4						6
6	6	1	6/8	3/4	0	4						7
7	7	1	6/8	3/4	0	4						8
8	8	1	6/8	3/4	0	4						9
9	9	1	6/8	3/4	0	4						10
10	10	1	6/8	3/4	0	4						11
11	11	1	6/8	3/4	0	3						12
12	12	1	6/8	3/4	0	5						13
13	13	1	6/8	3/4	0	3						14
14	14	1	6/8	3/4	0	3						15
15	15	1	6/8	3/4	0	4						16
16	16	1	6/8	3/4	0	4						17
17	17	1	6/8	3/4	0	2						18
18	18	1	6/8	3/4	0	4						19
19	19	1	6/8	3/4	0	4						20
20	20	1	6/8	3/4	0	4						21
21	21	1	6/8	3/4	0	4						22
22	22	1	6/8	3/4	0	4						23
23	23	1	6/8	3/4	0	3						24
24	24	1	6/8	3/4	0	4						25
25	25	1	6/8	3/4	0	4						26
26	26	1	6/8	3/4	0	4						27
27	27	1	6/8	3/4	0	3						28
28	28	1	6/8	3/4	0	4						29
29	29	1	6/8	3/4	0	3						30
30	30	1	6/8	3/4	0	4						31
31	31	1	6/8	3/4	0	5	lastMeasure		end			
