mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	2	3/8	3/8	0	2	firstMeasure					2
2	2	2	3/8	3/8	0	2						3
3	3	2	3/8	3/8	0	2						4
4	4	2	3/8	3/8	0	3						5
5	5	2	3/8	3/8	0	4						6
6	6	2	3/8	3/8	0	3						7
7	7	2	3/8	3/8	0	3						8
8	8	2	3/8	3/8	0	3						9
9	9	2	3/8	3/8	0	4						10
10	10	2	3/8	3/8	0	3						11
11	11	2	3/8	3/8	0	3						12
12	12	2	3/8	3/8	0	3						13
13	13	2	3/8	3/8	0	3						14
14	14	2	3/8	3/8	0	2						15
15	15	2	3/8	3/8	0	2						16
16	16	2	3/8	3/8	0	2						17
17	17	2	3/8	3/8	0	2						18
18	18	2	3/8	3/8	0	2						19
19	19	2	3/8	3/8	0	2						20
20	20	2	3/8	3/8	0	2						21
21	21	2	3/8	3/8	0	3						22
22	22	2	3/8	3/8	0	3						23
23	23	2	3/8	3/8	0	3						24
24	24	2	3/8	3/8	0	2						25
25	25	2	3/8	3/8	0	3						26
26	26	2	3/8	3/8	0	3						27
27	27	2	3/8	3/8	0	3						28
28	28	2	3/8	3/8	0	3						29
29	29	2	3/8	3/8	0	3						30
30	30	2	3/8	3/8	0	3						31
31	31	2	3/8	3/8	0	3						32
32	32	2	3/8	3/8	0	3						33
33	33	2	3/8	3/8	0	4						34
34	34	2	3/8	3/8	0	2						35
35	35	2	3/8	3/8	0	3						36
36	36	2	3/8	3/8	0	4						37
37	37	2	3/8	3/8	0	3						38
38	38	2	3/8	3/8	0	4						39
39	39	2	3/8	3/8	0	3						40
40	40	2	3/8	3/8	0	3						41
41	41	2	3/8	3/8	0	3						42
42	42	2	3/8	3/8	0	3						43
43	43	2	3/8	3/8	0	3						44
44	44	2	3/8	3/8	0	3						45
45	45	2	3/8	3/8	0	3						46
46	46	2	3/8	3/8	0	3						47
47	47	2	3/8	3/8	0	3						48
48	48	2	3/8	3/8	0	3						49
49	49	2	3/8	3/8	0	3						50
50	50	2	3/8	3/8	0	3						51
51	51	2	3/8	3/8	0	3						52
52	52	2	3/8	3/8	0	4						53
53	53	2	3/8	3/8	0	3						54
54	54	2	3/8	3/8	0	3						55
55	55	2	3/8	3/8	0	3						56
56	56	2	3/8	3/8	0	4						57
57	57	2	3/8	3/8	0	3						58
58	58	2	3/8	3/8	0	5						59
59	59	2	3/8	3/8	0	5	lastMeasure		end			
