mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	6/8	2	2	1/8		1/8	1		4	52	15
1	1	0	0	6/8	2	1	1/4		1/4	1		4	52	11
1	1	1/16	1/16	6/8	1	1	1/16		1/16	1		1	67	0
1	1	1/8	1/8	6/8	2	2	1/4		1/4	1		4	40	16
1	1	1/8	1/8	6/8	1	1	1/16		1/16	1		6	66	1
1	1	3/16	3/16	6/8	1	1	1/16		1/16	1		1	67	2
1	1	1/4	1/4	6/8	2	1	1/8		1/8	1		4	52	12
1	1	1/4	1/4	6/8	1	1	1/16		1/16	1		4	64	3
1	1	5/16	5/16	6/8	1	1	1/16		1/16	1		1	67	4
1	1	3/8	3/8	6/8	2	2	1/8		1/8	1		6	54	17
1	1	3/8	3/8	6/8	2	1	1/4		1/4	1		6	54	13
1	1	3/8	3/8	6/8	1	1	1/16		1/16	1		9	63	5
1	1	7/16	7/16	6/8	1	1	1/16		1/16	1		6	66	6
1	1	1/2	1/2	6/8	2	2	1/4		1/4	1		6	42	18
1	1	1/2	1/2	6/8	1	1	1/16		1/16	1		4	64	7
1	1	9/16	9/16	6/8	1	1	1/16		1/16	1		6	66	8
1	1	5/8	5/8	6/8	2	1	1/8		1/8	1		6	54	14
1	1	5/8	5/8	6/8	1	1	1/16		1/16	1		9	63	9
1	1	11/16	11/16	6/8	1	1	1/16		1/16	1		6	66	10
2	2	0	0	6/8	2	2	1/8		1/8	1		1	55	34
2	2	0	0	6/8	2	1	1/4		1/4	1		1	55	31
2	2	0	0	6/8	1	1	1/16		1/16	1		5	59	19
2	2	1/16	1/16	6/8	1	1	1/16		1/16	1		5	71	20
2	2	1/8	1/8	6/8	2	2	1/4		1/4	1		1	43	35
2	2	1/8	1/8	6/8	1	1	1/16		1/16	1		3	69	21
2	2	3/16	3/16	6/8	1	1	1/16		1/16	1		5	71	22
2	2	1/4	1/4	6/8	2	1	1/8		1/8	1		1	55	32
2	2	1/4	1/4	6/8	1	1	1/16		1/16	1		4	64	23
2	2	5/16	5/16	6/8	1	1	1/16		1/16	1		5	71	24
2	2	3/8	3/8	6/8	2	2	1/8		1/8	1		3	57	36
2	2	3/8	3/8	6/8	1	1	1/16		1/16	1		0	72	25
2	2	7/16	7/16	6/8	1	1	1/16		1/16	1		5	71	26
2	2	1/2	1/2	6/8	2	2	1/8		1/8	1		5	59	37
2	2	1/2	1/2	6/8	2	1	1/4		1/4	1		5	59	33
2	2	1/2	1/2	6/8	1	1	1/16		1/16	1		3	69	27
2	2	9/16	9/16	6/8	1	1	1/16		1/16	1		1	67	28
2	2	5/8	5/8	6/8	2	2	1/8		1/8	1		5	47	38
2	2	5/8	5/8	6/8	1	1	1/16		1/16	1		3	69	29
2	2	11/16	11/16	6/8	1	1	1/16		1/16	1		6	66	30
3	3	0	0	6/8	2	1	1/16		1/16	1		4	52	46
3	3	0	0	6/8	1	1	1/8		1/8	1		1	67	39
3	3	1/16	1/16	6/8	2	1	1/16		1/16	1		4	64	47
3	3	1/8	1/8	6/8	2	1	1/16		1/16	1		2	62	48
3	3	3/16	3/16	6/8	2	1	1/16		1/16	1		4	64	49
3	3	1/4	1/4	6/8	2	1	1/16		1/16	1		5	59	50
3	3	1/4	1/4	6/8	1	2	1/8		1/8	1		5	71	43
3	3	1/4	1/4	6/8	1	1	1/8		1/8	1		1	79	40
3	3	5/16	5/16	6/8	2	1	1/16		1/16	1		2	62	51
3	3	3/8	3/8	6/8	2	1	1/16		1/16	1		7	61	52
3	3	3/8	3/8	6/8	1	2	1/8		1/8	1		5	71	44
3	3	3/8	3/8	6/8	1	1	1/8		1/8	1		1	79	41
3	3	7/16	7/16	6/8	2	1	1/16		1/16	1		6	66	53
3	3	1/2	1/2	6/8	2	1	1/16		1/16	1		4	64	54
3	3	9/16	9/16	6/8	2	1	1/16		1/16	1		6	66	55
3	3	5/8	5/8	6/8	2	1	1/16		1/16	1		7	61	56
3	3	5/8	5/8	6/8	1	2	1/8		1/8	1		3	69	45
3	3	5/8	5/8	6/8	1	1	1/8		1/8	1		6	78	42
3	3	11/16	11/16	6/8	2	1	1/16		1/16	1		4	64	57
4	4	0	0	6/8	2	1	1/16		1/16	1		9	63	68
4	4	0	0	6/8	1	2	1/8		1/8	1		3	69	63
4	4	0	0	6/8	1	1	1/8		1/8	1		6	78	58
4	4	1/16	1/16	6/8	2	1	1/16		1/16	1		5	59	69
4	4	1/8	1/8	6/8	2	1	1/16		1/16	1		7	61	70
4	4	3/16	3/16	6/8	2	1	1/16		1/16	1		9	63	71
4	4	1/4	1/4	6/8	2	1	1/8		1/8	1		4	64	72
4	4	5/16	5/16	6/8	1	2	1/8		1/8	1		1	67	64
4	4	3/8	3/8	6/8	2	1	1/8		1/8	1		2	62	73
4	4	3/8	3/8	6/8	1	1	1/8		1/8	1	1	5	71	59
4	4	7/16	7/16	6/8	1	2	1/16		1/16	1	1	6	66	65
4	4	1/2	1/2	6/8	2	1	1/4		1/4	1		0	60	74
4	4	1/2	1/2	6/8	1	2	1/16		1/16	1	-1	6	66	66
4	4	1/2	1/2	6/8	1	1	1/8		1/8	1	-1	5	71	60
4	4	9/16	9/16	6/8	1	2	3/16		1/8	3/2		4	64	67
4	4	5/8	5/8	6/8	1	1	1/16		1/16	1		5	71	61
4	4	11/16	11/16	6/8	1	1	1/16		1/16	1		3	69	62
5	5	0	0	6/8	2	1	1/4		1/4	1	1	5	59	85
5	5	0	0	6/8	2	2	1/4		1/4	1		5	59	93
5	5	0	0	6/8	1	2	1/16		1/16	1		9	63	83
5	5	0	0	6/8	1	1	1/16		1/16	1		5	71	75
5	5	1/16	1/16	6/8	1	1	1/16		1/16	1		2	74	76
5	5	1/8	1/8	6/8	1	1	1/16		1/16	1		0	72	77
5	5	3/16	3/16	6/8	1	1	1/16		1/16	1		2	74	78
5	5	1/4	1/4	6/8	2	2	1/8		1/8	1		5	47	94
5	5	1/4	1/4	6/8	2	1	1/8		1/8	1	-1	5	59	86
5	5	1/4	1/4	6/8	1	1	1/16		1/16	1		6	66	79
5	5	5/16	5/16	6/8	1	1	1/16		1/16	1		3	69	80
5	5	3/8	3/8	6/8	2	1	1/16		1/16	1		4	52	87
5	5	3/8	3/8	6/8	1	1	1/4		1/4	1	1	8	68	81
5	5	7/16	7/16	6/8	2	1	1/16		1/16	1		4	64	88
5	5	1/2	1/2	6/8	2	1	1/16		1/16	1		2	62	89
5	5	9/16	9/16	6/8	2	1	1/16		1/16	1		4	64	90
5	5	5/8	5/8	6/8	2	1	1/16		1/16	1		4	52	91
5	5	5/8	5/8	6/8	1	2	1/8		1/8	1	-1	8	68	84
5	5	5/8	5/8	6/8	1	1	1/8		1/8	1		5	71	82
5	5	11/16	11/16	6/8	2	1	1/16		1/16	1		4	64	92
6	6	0	0	6/8	2	2	1/4		1/4	1		3	57	112
6	6	0	0	6/8	2	1	3/8		1/4	3/2		3	57	105
6	6	0	0	6/8	1	2	1/16		1/16	1		3	69	103
6	6	0	0	6/8	1	1	1/16		1/16	1		0	72	95
6	6	1/16	1/16	6/8	1	1	1/16		1/16	1		3	69	96
6	6	1/8	1/8	6/8	1	1	1/16		1/16	1		1	67	97
6	6	3/16	3/16	6/8	1	1	1/16		1/16	1		3	69	98
6	6	1/4	1/4	6/8	2	2	1/8		1/8	1		3	45	113
6	6	1/4	1/4	6/8	1	1	1/16		1/16	1		4	64	99
6	6	5/16	5/16	6/8	1	1	1/16		1/16	1		1	67	100
6	6	3/8	3/8	6/8	2	1	1/16		1/16	1		2	50	106
6	6	3/8	3/8	6/8	1	1	1/4		1/4	1	1	6	66	101
6	6	7/16	7/16	6/8	2	1	1/16		1/16	1		2	62	107
6	6	1/2	1/2	6/8	2	1	1/16		1/16	1		0	60	108
6	6	9/16	9/16	6/8	2	1	1/16		1/16	1		2	62	109
6	6	5/8	5/8	6/8	2	1	1/16		1/16	1		2	50	110
6	6	5/8	5/8	6/8	1	2	1/8		1/8	1	-1	6	66	104
