quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5/4	0.25	1	1	5/16	5/16	4/4	1	1	1/16		1/16	1		3	57	A3	3	0
3/2	0.25	1	1	3/8	3/8	4/4	1	1	1/16		1/16	1		-2	58	Bb3	3	1
7/4	0.25	1	1	7/16	7/16	4/4	1	1	1/16		1/16	1		0	60	C4	4	2
2	0.0	1	1	1/2	1/2	4/4	1	1	0	appoggiatura	1/8	1		0	60	C4	4	3
2	1.5	1	1	1/2	1/2	4/4	2	1	3/8		1/4	3/2		-2	46	Bb2	2	10
2	0.5	1	1	1/2	1/2	4/4	1	1	1/8		1/8	1		2	62	D4	4	4
5/2	0.25	1	1	5/8	5/8	4/4	1	1	1/16		1/16	1		-3	63	Eb4	4	5
11/4	0.25	1	1	11/16	11/16	4/4	1	1	1/16		1/16	1		2	62	D4	4	6
3	0.0	1	1	3/4	3/4	4/4	1	1	0	appoggiatura	1/8	1		2	62	D4	4	7
3	0.75	1	1	3/4	3/4	4/4	1	1	3/16		1/8	3/2		-3	63	Eb4	4	8
7/2	0.375	1	1	7/8	7/8	4/4	2	1	3/32		1/16	3/2		-2	58	Bb3	3	11
15/4	0.25	1	1	15/16	15/16	4/4	1	1	1/16		1/16	1		-1	65	F4	4	9
31/8	0.125	1	1	31/32	31/32	4/4	2	1	1/32		1/32	1		-2	58	Bb3	3	12
4	0.0	2	2	0	0	4/4	1	1	0	appoggiatura	1/8	1		2	62	D4	4	13
4	1.0	2	2	0	0	4/4	2	1	1/4		1/4	1		3	57	A3	3	30
4	0.75	2	2	0	0	4/4	1	1	3/16		1/8	3/2		0	60	C4	4	14
19/4	0.25	2	2	3/16	3/16	4/4	1	1	1/16		1/16	1		0	60	C4	4	15
5	0.75	2	2	1/4	1/4	4/4	1	1	3/16		1/8	3/2		-1	65	F4	4	16
11/2	0.5	2	2	3/8	3/8	4/4	2	1	1/8		1/8	1		3	45	A2	2	31
23/4	0.05	2	2	7/16	7/16	4/4	1	1	1/80		1/64	4/5		-3	63	Eb4	4	17
29/5	0.05	2	2	9/20	9/20	4/4	1	1	1/80		1/64	4/5		2	62	D4	4	18
117/20	0.05	2	2	37/80	37/80	4/4	1	1	1/80		1/64	4/5		0	60	C4	4	19
59/10	0.05	2	2	19/40	19/40	4/4	1	1	1/80		1/64	4/5		-2	58	Bb3	3	20
119/20	0.05	2	2	39/80	39/80	4/4	1	1	1/80		1/64	4/5		3	57	A3	3	21
6	0.0	2	2	1/2	1/2	4/4	1	1	0	appoggiatura	1/8	1		3	57	A3	3	22
6	0.0	2	2	1/2	1/2	4/4	2	1	0	appoggiatura	1/8	1		3	45	A2	2	32
6	1.0	2	2	1/2	1/2	4/4	2	1	1/4		1/4	1		1	43	G2	2	33
6	0.75	2	2	1/2	1/2	4/4	1	1	3/16		1/8	3/2		-2	58	Bb3	3	23
27/4	0.08333333333333333	2	2	11/16	11/16	4/4	1	1	1/48		1/32	2/3		-2	58	Bb3	3	24
41/6	0.08333333333333333	2	2	17/24	17/24	4/4	1	1	1/48		1/32	2/3		0	60	C4	4	25
83/12	0.08333333333333333	2	2	35/48	35/48	4/4	1	1	1/48		1/32	2/3		2	62	D4	4	26
7	0.0	2	2	3/4	3/4	4/4	1	1	0	appoggiatura	1/8	1		2	62	D4	4	27
7	0.75	2	2	3/4	3/4	4/4	1	1	3/16		1/8	3/2		0	60	C4	4	28
29/4	0.25	2	2	13/16	13/16	4/4	2	1	1/16		1/16	1		-1	53	F3	3	34
