quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	3.0	1	1	0	0	6/4	2	1	3/4		1/2	3/2	1	1	43	G2	2	11
0	3.0	1	1	0	0	6/4	2	2	3/4		1/2	3/2		1	43	G2	2	13
1/2	0.5	1	1	1/8	1/8	6/4	1	1	1/8		1/8	1		2	74	D5	5	0
1	0.5	1	1	1/4	1/4	6/4	1	1	1/8		1/8	1		0	72	C5	5	1
3/2	0.5	1	1	3/8	3/8	6/4	1	1	1/8		1/8	1		3	69	A4	4	2
2	0.5	1	1	1/2	1/2	6/4	1	1	1/8		1/8	1		-2	70	Bb4	4	3
5/2	0.5	1	1	5/8	5/8	6/4	1	1	1/8		1/8	1		6	66	F#4	4	4
3	3.0	1	1	3/4	3/4	6/4	2	2	3/4		1/2	3/2	1	1	31	G1	1	14
3	3.0	1	1	3/4	3/4	6/4	2	1	3/4		1/2	3/2	-1	1	43	G2	2	12
3	0.5	1	1	3/4	3/4	6/4	1	1	1/8		1/8	1		1	67	G4	4	5
7/2	0.5	1	1	7/8	7/8	6/4	1	1	1/8		1/8	1		2	62	D4	4	6
4	0.5	1	1	1	1	6/4	1	1	1/8		1/8	1		-3	63	Eb4	4	7
9/2	0.5	1	1	9/8	9/8	6/4	1	1	1/8		1/8	1		0	60	C4	4	8
5	0.5	1	1	5/4	5/4	6/4	1	1	1/8		1/8	1		2	62	D4	4	9
11/2	0.5	1	1	11/8	11/8	6/4	1	1	1/8		1/8	1		3	57	A3	3	10
6	2.0	2	2	0	0	6/4	2	2	1/2		1/2	1	-1	1	31	G1	1	33
6	2.0	2	2	0	0	6/4	2	1	1/2		1/2	1		1	43	G2	2	29
6	0.5	2	2	0	0	6/4	1	1	1/8		1/8	1		-2	58	Bb3	3	15
13/2	0.5	2	2	1/8	1/8	6/4	1	1	1/8		1/8	1		1	55	G3	3	16
7	0.5	2	2	1/4	1/4	6/4	1	1	1/8		1/8	1		-2	58	Bb3	3	17
15/2	0.5	2	2	3/8	3/8	6/4	1	1	1/8		1/8	1		0	60	C4	4	18
8	1.0	2	2	1/2	1/2	6/4	2	1	1/4		1/4	1	1	-1	41	F2	2	30
8	0.5	2	2	1/2	1/2	6/4	1	1	1/8		1/8	1		2	62	D4	4	19
17/2	0.5	2	2	5/8	5/8	6/4	1	1	1/8		1/8	1		4	64	E4	4	20
9	1.0	2	2	3/4	3/4	6/4	2	1	1/4		1/4	1	-1	-1	41	F2	2	31
9	0.5	2	2	3/4	3/4	6/4	1	2	1/8		1/8	1		-1	65	F4	4	24
