quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	1	0	0	4/4	2	2	1/8		1/8	1		3	45	A2	2	15
0	2.0	1	1	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	13
1/2	0.5	1	1	1/8	1/8	4/4	2	2	1/8		1/8	1	1	3	33	A1	1	16
3/4	0.25	1	1	3/16	3/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	0
1	1.0	1	1	1/4	1/4	4/4	2	2	1/4		1/4	1	-1	3	33	A1	1	17
1	0.25	1	1	1/4	1/4	4/4	1	1	1/16		1/16	1		2	62	D4	4	1
5/4	0.25	1	1	5/16	5/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	2
3/2	0.25	1	1	3/8	3/8	4/4	1	1	1/16		1/16	1		5	59	B3	3	3
3/2	0.5	1	1	3/8	3/8	4/4	1	2	1/8		1/8	1	1	5	59	B3	3	10
7/4	0.25	1	1	7/16	7/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	4
2	1.0	1	1	1/2	1/2	4/4	1	2	1/4		1/4	1	0	5	59	B3	3	11
2	1.0	1	1	1/2	1/2	4/4	1	1	1/4		1/4	1		2	62	D4	4	5
9/4	0.25	1	1	9/16	9/16	4/4	2	2	1/16		1/16	1		3	57	A3	3	18
5/2	0.25	1	1	5/8	5/8	4/4	2	2	1/16		1/16	1		8	56	G#3	3	19
11/4	0.25	1	1	11/16	11/16	4/4	2	2	1/16		1/16	1		6	54	F#3	3	20
3	0.5	1	1	3/4	3/4	4/4	2	2	1/8		1/8	1		8	56	G#3	3	21
3	1.0	1	1	3/4	3/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	14
3	0.25	1	1	3/4	3/4	4/4	1	2	1/16		1/16	1	-1	5	59	B3	3	12
3	0.25	1	1	3/4	3/4	4/4	1	1	1/16		1/16	1		2	62	D4	4	6
13/4	0.25	1	1	13/16	13/16	4/4	1	1	1/16		1/16	1		2	62	D4	4	7
7/2	0.5	1	1	7/8	7/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	22
7/2	0.25	1	1	7/8	7/8	4/4	1	1	1/16		1/16	1		7	61	C#4	4	8
15/4	0.25	1	1	15/16	15/16	4/4	1	1	1/16		1/16	1	1	5	59	B3	3	9
4	0.25	2	2	0	0	4/4	1	1	1/16		1/16	1	-1	5	59	B3	3	23
49/12	1.0	2	2	1/48	1/48	4/4	2	2	1/4		1/4	1		3	57	A3	3	47
17/4	0.25	2	2	1/16	1/16	4/4	1	1	1/16		1/16	1		5	59	B3	3	24
17/4	0.25	2	2	1/16	1/16	4/4	1	2	1/16		1/16	1	1	5	59	B3	3	37
9/2	0.25	2	2	1/8	1/8	4/4	1	2	1/16		1/16	1	-1	5	59	B3	3	38
9/2	0.5	2	2	1/8	1/8	4/4	1	1	1/8		1/8	1	1	7	61	C#4	4	25
19/4	0.25	2	2	3/16	3/16	4/4	1	2	1/16		1/16	1		5	59	B3	3	39
5	0.25	2	2	1/4	1/4	4/4	1	2	1/16		1/16	1		3	57	A3	3	40
5	0.25	2	2	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	7	61	C#4	4	26
61/12	1.0	2	2	13/48	13/48	4/4	2	2	1/4		1/4	1		7	49	C#3	3	48
21/4	0.25	2	2	5/16	5/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	27
11/2	0.25	2	2	3/8	3/8	4/4	1	1	1/16		1/16	1		2	62	D4	4	28
359/64	0.5	2	2	103/256	103/256	4/4	2	1	1/8		1/8	1		4	52	E3	3	45
23/4	0.25	2	2	7/16	7/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	29
6	1.0	2	2	1/2	1/2	4/4	1	2	1/4		1/4	1		3	57	A3	3	41
73/12	0.75	2	2	25/48	25/48	4/4	2	2	3/16		1/8	3/2		2	50	D3	3	49
391/64	1.0	2	2	135/256	135/256	4/4	2	1	1/4		1/4	1		6	54	F#3	3	46
25/4	0.25	2	2	9/16	9/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	30
13/2	0.5	2	2	5/8	5/8	4/4	1	1	1/8		1/8	1		5	59	B3	3	31
41/6	0.25	2	2	17/24	17/24	4/4	2	2	1/16		1/16	1		4	52	E3	3	50
85/12	0.75	2	2	37/48	37/48	4/4	2	2	3/16		1/8	3/2		9	51	D#3	3	51
43/6	0.08333333333333333	2	2	19/24	19/24	4/4	1	1	1/48		1/32	2/3		8	56	G#3	3	32
29/4	0.08333333333333333	2	2	13/16	13/16	4/4	1	1	1/48		1/32	2/3		6	54	F#3	3	33
29/4	0.16666666666666666	2	2	13/16	13/16	4/4	1	2	1/24		1/16	2/3	1	6	54	F#3	3	42
22/3	0.08333333333333333	2	2	5/6	5/6	4/4	1	1	1/48		1/32	2/3		8	56	G#3	3	34
89/12	0.08333333333333333	2	2	41/48	41/48	4/4	1	1	1/48		1/32	2/3		3	57	A3	3	35
89/12	0.16666666666666666	2	2	41/48	41/48	4/4	1	2	1/24		1/16	2/3	1	3	57	A3	3	43
15/2	0.5	2	2	7/8	7/8	4/4	1	1	1/8		1/8	1	1	5	59	B3	3	36
91/12	0.5	2	2	43/48	43/48	4/4	1	2	1/8		1/8	1	0	6	54	F#3	3	44
91/12	0.5	2	2	43/48	43/48	4/4	1	2	1/8		1/8	1	0	3	57	A3	3	44
47/6	0.25	2	2	23/24	23/24	4/4	2	2	1/16		1/16	1		5	47	B2	2	52
65/8	1.0	3	3	0	0	4/4	2	2	1/4		1/4	1		4	52	E3	3	74
65/8	2.0	3	3	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	72
65/8	0.75	3	3	0	0	4/4	1	2	3/16		1/8	3/2	-1	6	54	F#3	3	63
65/8	0.75	3	3	0	0	4/4	1	2	3/16		1/8	3/2	-1	3	57	A3	3	63
65/8	1.0	3	3	0	0	4/4	1	1	1/4		1/4	1	0	5	59	B3	3	53
71/8	0.08333333333333333	3	3	3/16	3/16	4/4	1	2	1/48		1/32	2/3		3	57	A3	3	64
215/24	0.08333333333333333	3	3	5/24	5/24	4/4	1	2	1/48		1/32	2/3		8	56	G#3	3	65
217/24	0.08333333333333333	3	3	11/48	11/48	4/4	1	2	1/48		1/32	2/3		6	54	F#3	3	66
73/8	1.0	3	3	1/4	1/4	4/4	2	2	1/4		1/4	1		4	40	E2	2	75
73/8	0.75	3	3	1/4	1/4	4/4	1	2	3/16		1/8	3/2		8	56	G#3	3	67
73/8	0.25	3	3	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	5	59	B3	3	54
75/8	0.25	3	3	5/16	5/16	4/4	1	1	1/16		1/16	1		5	59	B3	3	55
77/8	0.5	3	3	3/8	3/8	4/4	1	1	1/8		1/8	1	1	4	64	E4	4	56
79/8	0.25	3	3	7/16	7/16	4/4	1	2	1/16		1/16	1	1	8	56	G#3	3	68
81/8	1.0	3	3	1/2	1/2	4/4	2	2	1/4		1/4	1		6	54	F#3	3	76
81/8	0.25	3	3	1/2	1/2	4/4	1	2	1/16		1/16	1	-1	8	56	G#3	3	69
81/8	0.75	3	3	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	4	64	E4	4	57
83/8	0.25	3	3	9/16	9/16	4/4	1	2	1/16		1/16	1		8	56	G#3	3	70
85/8	0.5	3	3	5/8	5/8	4/4	1	2	1/8		1/8	1		3	57	A3	3	71
87/8	0.08333333333333333	3	3	11/16	11/16	4/4	1	1	1/48		1/32	2/3		2	62	D4	4	58
263/24	0.08333333333333333	3	3	17/24	17/24	4/4	1	1	1/48		1/32	2/3		7	61	C#4	4	59
265/24	0.08333333333333333	3	3	35/48	35/48	4/4	1	1	1/48		1/32	2/3		2	62	D4	4	60
89/8	0.5	3	3	3/4	3/4	4/4	2	2	1/8		1/8	1		8	56	G#3	3	77
89/8	1.0	3	3	3/4	3/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	73
89/8	0.75	3	3	3/4	3/4	4/4	1	1	3/16		1/8	3/2		2	62	D4	4	61
93/8	0.5	3	3	7/8	7/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	78
95/8	0.25	3	3	15/16	15/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	62
97/8	0.75	4	4	0	0	4/4	2	1	3/16		1/8	3/2		3	57	A3	3	92
97/8	0.25	4	4	0	0	4/4	1	2	1/16		1/16	1		7	61	C#4	4	86
97/8	2.0	4	4	0	0	4/4	1	1	1/2		1/2	1		7	61	C#4	4	79
99/8	0.25	4	4	1/16	1/16	4/4	1	2	1/16		1/16	1		5	59	B3	3	87
101/8	0.5	4	4	1/8	1/8	4/4	1	2	1/8		1/8	1	1	3	57	A3	3	88
103/8	0.08333333333333333	4	4	3/16	3/16	4/4	2	1	1/48		1/32	2/3		3	45	A2	2	93
