quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	2.0	1	1	0	0	2/2	2	1	1/2		1/2	1	1	-1	53	F3	3	1
0	2.0	1	1	0	0	2/2	2	2	1/2		1/2	1		-1	53	F3	3	3
2	2.0	1	1	1/2	1/2	2/2	2	2	1/2		1/2	1		-1	41	F2	2	4
2	2.0	1	1	1/2	1/2	2/2	2	1	1/2		1/2	1	0	-1	53	F3	3	2
7/2	0.5	1	1	7/8	7/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	0
4	0.0	2	2	0	0	2/2	1	1	0	appoggiatura	1/8	1		-1	65	F4	4	5
4	4.0	2	2	0	0	2/2	2	2	1		1	1	-1	-1	53	F3	3	17
4	2.0	2	2	0	0	2/2	2	1	1/2		1/2	1		1	55	G3	3	15
4	1.0	2	2	0	0	2/2	1	1	1/4		1/4	1		4	64	E4	4	6
5	0.5	2	2	1/4	1/4	2/2	1	1	1/8		1/8	1		-1	65	F4	4	7
11/2	0.5	2	2	3/8	3/8	2/2	1	1	1/8		1/8	1		2	62	D4	4	8
6	0.0	2	2	1/2	1/2	2/2	1	1	0	appoggiatura	1/8	1		2	62	D4	4	9
6	2.0	2	2	1/2	1/2	2/2	2	1	1/2		1/2	1	1	3	57	A3	3	16
6	0.5	2	2	1/2	1/2	2/2	1	2	1/8		1/8	1		-3	63	Eb4	4	12
6	1.5	2	2	1/2	1/2	2/2	1	1	3/8		1/4	3/2		-3	63	Eb4	4	10
13/2	0.5	2	2	5/8	5/8	2/2	1	2	1/8		1/8	1		2	62	D4	4	13
7	1.0	2	2	3/4	3/4	2/2	1	2	1/4		1/4	1	1	0	60	C4	4	14
15/2	0.5	2	2	7/8	7/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	11
8	0.0	3	3	0	0	2/2	1	1	0	appoggiatura	1/8	1		-3	63	Eb4	4	18
8	4.0	3	3	0	0	2/2	2	2	1		1	1		-2	46	Bb2	2	31
8	2.0	3	3	0	0	2/2	2	1	1/2		1/2	1	-1	3	57	A3	3	29
8	1.5	3	3	0	0	2/2	1	2	3/8		1/4	3/2	-1	0	60	C4	4	25
8	2.0	3	3	0	0	2/2	1	1	1/2		1/2	1	1	2	62	D4	4	19
19/2	0.5	3	3	3/8	3/8	2/2	1	2	1/8		1/8	1		0	60	C4	4	26
10	0.0	3	3	1/2	1/2	2/2	1	2	0	appoggiatura	1/8	1		0	60	C4	4	27
10	2.0	3	3	1/2	1/2	2/2	2	1	1/2		1/2	1	1	1	55	G3	3	30
10	2.0	3	3	1/2	1/2	2/2	1	2	1/2		1/2	1	1	-2	58	Bb3	3	28
10	0.5	3	3	1/2	1/2	2/2	1	1	1/8		1/8	1	-1	2	62	D4	4	20
21/2	0.5	3	3	5/8	5/8	2/2	1	1	1/8		1/8	1		2	62	D4	4	21
11	0.0	3	3	3/4	3/4	2/2	1	1	0	appoggiatura	1/8	1		2	62	D4	4	22
