quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
3/4	0.25	1	0	3/16	11/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	0
1	0.75	1	0	1/4	3/4	4/4	1	1	3/16		1/8	3/2		2	62	D4	4	1
7/4	0.25	1	0	7/16	15/16	4/4	1	1	1/16		1/16	1	1	4	64	E4	4	2
2	4.0	2	1	0	0	4/4	2	1	1		1	1		2	50	D3	3	13
2	0.5	2	1	0	0	4/4	1	1	1/8		1/8	1	-1	4	64	E4	4	3
5/2	0.5	2	1	1/8	1/8	4/4	1	1	1/8		1/8	1		4	64	E4	4	4
3	0.5	2	1	1/4	1/4	4/4	1	2	1/8		1/8	1		-1	65	F4	4	10
3	1.0	2	1	1/4	1/4	4/4	1	1	1/4		1/4	1	1	-1	65	F4	4	5
7/2	0.5	2	1	3/8	3/8	4/4	1	2	1/8		1/8	1	1	2	62	D4	4	11
4	2.0	2	1	1/2	1/2	4/4	2	2	1/2		1/2	1		2	38	D2	2	14
4	0.75	2	1	1/2	1/2	4/4	1	2	3/16		1/8	3/2		3	57	A3	3	12
4	0.75	2	1	1/2	1/2	4/4	1	2	3/16		1/8	3/2	-1	2	62	D4	4	12
4	0.75	2	1	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	-1	65	F4	4	6
19/4	0.25	2	1	11/16	11/16	4/4	1	1	1/16		1/16	1		-1	65	F4	4	7
5	0.75	2	1	3/4	3/4	4/4	1	1	3/16		1/8	3/2		1	67	G4	4	8
23/4	0.25	2	1	15/16	15/16	4/4	1	1	1/16		1/16	1	1	3	69	A4	4	9
6	2.0	3	2	0	0	4/4	2	2	1/2		1/2	1	1	4	52	E3	3	27
6	0.75	3	2	0	0	4/4	1	1	3/16		1/8	3/2	-1	3	69	A4	4	15
27/4	0.25	3	2	3/16	3/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	16
7	0.5	3	2	1/4	1/4	4/4	1	1	1/8		1/8	1		2	62	D4	4	17
15/2	0.5	3	2	3/8	3/8	4/4	1	1	1/8		1/8	1	1	7	61	C#4	4	18
31/4	0.08333333333333333	3	2	7/16	7/16	4/4	2	1	1/48		1/32	2/3		1	55	G3	3	23
31/4	0.25	3	2	7/16	7/16	4/4	2	3	1/16		1/16	1	1	1	55	G3	3	29
47/6	0.08333333333333333	3	2	11/24	11/24	4/4	2	1	1/48		1/32	2/3		3	57	A3	3	24
95/12	0.08333333333333333	3	2	23/48	23/48	4/4	2	1	1/48		1/32	2/3		-2	58	Bb3	3	25
8	2.0	3	2	1/2	1/2	4/4	2	2	1/2		1/2	1	-1	4	52	E3	3	28
8	2.0	3	2	1/2	1/2	4/4	2	3	1/2		1/2	1	-1	1	55	G3	3	30
8	2.0	3	2	1/2	1/2	4/4	2	1	1/2		1/2	1	1	3	57	A3	3	26
8	0.75	3	2	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	7	61	C#4	4	19
35/4	0.25	3	2	11/16	11/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	20
9	0.75	3	2	3/4	3/4	4/4	1	1	3/16		1/8	3/2		2	62	D4	4	21
39/4	0.25	3	2	15/16	15/16	4/4	1	1	1/16		1/16	1	1	4	64	E4	4	22
10	2.0	4	3	0	0	4/4	2	2	1/2		1/2	1		-1	53	F3	3	43
10	1.0	4	3	0	0	4/4	2	1	1/4		1/4	1	-1	3	57	A3	3	41
10	0.5	4	3	0	0	4/4	1	1	1/8		1/8	1	-1	4	64	E4	4	31
21/2	0.5	4	3	1/8	1/8	4/4	1	1	1/8		1/8	1		4	64	E4	4	32
11	0.5	4	3	1/4	1/4	4/4	1	2	1/8		1/8	1		2	62	D4	4	38
11	1.0	4	3	1/4	1/4	4/4	1	1	1/4		1/4	1	1	2	62	D4	4	33
23/2	0.5	4	3	3/8	3/8	4/4	1	2	1/8		1/8	1	1	3	57	A3	3	39
12	0.0	4	3	1/2	1/2	4/4	2	2	0	appoggiatura	1/8	1		1	55	G3	3	44
12	2.0	4	3	1/2	1/2	4/4	2	2	1/2		1/2	1		6	54	F#3	3	45
12	0.75	4	3	1/2	1/2	4/4	1	2	3/16		1/8	3/2	-1	3	57	A3	3	40
12	0.75	4	3	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	2	62	D4	4	34
51/4	0.25	4	3	11/16	11/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	35
13	1.0	4	3	3/4	3/4	4/4	2	1	1/4		1/4	1		3	57	A3	3	42
13	0.75	4	3	3/4	3/4	4/4	1	1	3/16		1/8	3/2		-2	70	Bb4	4	36
55/4	0.25	4	3	15/16	15/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	37
14	0.0	5	4	0	0	4/4	1	1	0	appoggiatura	1/8	1		0	72	C5	5	46
14	4.0	5	4	0	0	4/4	2	2	1		1	1		1	55	G3	3	60
14	1.0	5	4	0	0	4/4	1	1	1/4		1/4	1	1	-2	70	Bb4	4	47
59/4	0.25	5	4	3/16	3/16	4/4	2	1	1/16		1/16	1		2	62	D4	4	53
15	0.75	5	4	1/4	1/4	4/4	2	1	3/16		1/8	3/2		4	64	E4	4	54
15	0.75	5	4	1/4	1/4	4/4	1	1	3/16		1/8	3/2	-1	-2	70	Bb4	4	48
63/4	0.25	5	4	7/16	7/16	4/4	2	1	1/16		1/16	1	1	-1	65	F4	4	55
63/4	0.25	5	4	7/16	7/16	4/4	1	1	1/16		1/16	1		3	69	A4	4	49
16	0.75	5	4	1/2	1/2	4/4	2	1	3/16		1/8	3/2	-1	-1	65	F4	4	56
16	1.0	5	4	1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	A4	4	50
67/4	0.25	5	4	11/16	11/16	4/4	2	1	1/16		1/16	1		-1	65	F4	4	57
17	0.5	5	4	3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	58
17	0.75	5	4	3/4	3/4	4/4	1	1	3/16		1/8	3/2		1	67	G4	4	51
35/2	0.5	5	4	7/8	7/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	59
71/4	0.25	5	4	15/16	15/16	4/4	1	1	1/16		1/16	1	1	-1	65	F4	4	52
18	2.0	6	5	0	0	4/4	2	2	1/2		1/2	1		3	57	A3	3	74
18	1.0	6	5	0	0	4/4	2	1	1/4		1/4	1	1	2	62	D4	4	70
18	0.5	6	5	0	0	4/4	1	1	1/8		1/8	1	-1	-1	65	F4	4	61
37/2	0.5	6	5	1/8	1/8	4/4	1	1	1/8		1/8	1		-1	65	F4	4	62
19	0.75	6	5	1/4	1/4	4/4	2	1	3/16		1/8	3/2	-1	2	62	D4	4	71
19	1.0	6	5	1/4	1/4	4/4	1	1	1/4		1/4	1	1	4	64	E4	4	63
79/4	0.25	6	5	7/16	7/16	4/4	2	1	1/16		1/16	1		2	62	D4	4	72
20	0.0	6	5	1/2	1/2	4/4	1	2	0	appoggiatura	1/8	1		2	62	D4	4	68
20	2.0	6	5	1/2	1/2	4/4	2	2	1/2		1/2	1		3	45	A2	2	75
20	2.0	6	5	1/2	1/2	4/4	2	1	1/2		1/2	1	1	3	57	A3	3	73
20	2.0	6	5	1/2	1/2	4/4	1	2	1/2		1/2	1	1	0	60	C4	4	69
20	0.75	6	5	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	4	64	E4	4	64
83/4	0.25	6	5	11/16	11/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	65
21	0.75	6	5	3/4	3/4	4/4	1	1	3/16		1/8	3/2		-1	65	F4	4	66
87/4	0.25	6	5	15/16	15/16	4/4	1	1	1/16		1/16	1	1	1	67	G4	4	67
22	2.0	7	6	0	0	4/4	2	2	1/2		1/2	1		2	50	D3	3	91
22	1.0	7	6	0	0	4/4	2	1	1/4		1/4	1	-1	3	57	A3	3	89
22	1.0	7	6	0	0	4/4	1	2	1/4		1/4	1	0	0	60	C4	4	82
22	0.5	7	6	0	0	4/4	1	1	1/8		1/8	1	-1	1	67	G4	4	76
45/2	0.5	7	6	1/8	1/8	4/4	1	1	1/8		1/8	1		1	67	G4	4	77
23	0.25	7	6	1/4	1/4	4/4	1	2	1/16		1/16	1	-1	0	60	C4	4	83
23	1.0	7	6	1/4	1/4	4/4	1	1	1/4		1/4	1		6	66	F#4	4	78
93/4	0.25	7	6	5/16	5/16	4/4	1	2	1/16		1/16	1		0	60	C4	4	84
47/2	0.25	7	6	3/8	3/8	4/4	1	2	1/16		1/16	1		2	62	D4	4	85
95/4	0.25	7	6	7/16	7/16	4/4	1	2	1/16		1/16	1		3	57	A3	3	86
24	0.0	7	6	1/2	1/2	4/4	1	2	0	appoggiatura	1/8	1		3	57	A3	3	87
24	2.0	7	6	1/2	1/2	4/4	2	2	1/2		1/2	1		1	43	G2	2	92
24	2.0	7	6	1/2	1/2	4/4	2	1	1/2		1/2	1	1	1	55	G3	3	90
24	2.0	7	6	1/2	1/2	4/4	1	2	1/2		1/2	1	1	-2	58	Bb3	3	88
99/4	0.25	7	6	11/16	11/16	4/4	1	1	1/16		1/16	1		2	62	D4	4	79
25	0.75	7	6	3/4	3/4	4/4	1	1	3/16		1/8	3/2		4	64	E4	4	80
103/4	0.25	7	6	15/16	15/16	4/4	1	1	1/16		1/16	1	1	-1	65	F4	4	81
26	2.0	8	7	0	0	4/4	2	2	1/2		1/2	1		0	48	C3	3	108
26	1.0	8	7	0	0	4/4	2	1	1/4		1/4	1	-1	1	55	G3	3	106
26	1.0	8	7	0	0	4/4	1	2	1/4		1/4	1	0	-2	58	Bb3	3	99
26	0.5	8	7	0	0	4/4	1	1	1/8		1/8	1	-1	-1	65	F4	4	93
53/2	0.5	8	7	1/8	1/8	4/4	1	1	1/8		1/8	1		-1	65	F4	4	94
27	0.25	8	7	1/4	1/4	4/4	1	2	1/16		1/16	1	-1	-2	58	Bb3	3	100
27	1.0	8	7	1/4	1/4	4/4	1	1	1/4		1/4	1		4	64	E4	4	95
109/4	0.25	8	7	5/16	5/16	4/4	1	2	1/16		1/16	1		-2	58	Bb3	3	101
55/2	0.25	8	7	3/8	3/8	4/4	1	2	1/16		1/16	1		0	60	C4	4	102
111/4	0.25	8	7	7/16	7/16	4/4	1	2	1/16		1/16	1		1	55	G3	3	103
