quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	0.5	1	1	0	0	4/4	2	2	1/8		1/8	1		3	45	A2	2	15
0	2.0	1	1	0	0	4/4	2	1	1/2		1/2	1		3	45	A2	2	13
1/2	0.5	1	1	1/8	1/8	4/4	2	2	1/8		1/8	1	1	3	33	A1	1	16
3/4	0.25	1	1	3/16	3/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	0
1	1.0	1	1	1/4	1/4	4/4	2	2	1/4		1/4	1	-1	3	33	A1	1	17
1	0.25	1	1	1/4	1/4	4/4	1	1	1/16		1/16	1		2	62	D4	4	1
5/4	0.25	1	1	5/16	5/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	2
3/2	0.25	1	1	3/8	3/8	4/4	1	1	1/16		1/16	1		5	59	B3	3	3
3/2	0.5	1	1	3/8	3/8	4/4	1	2	1/8		1/8	1	1	5	59	B3	3	10
7/4	0.25	1	1	7/16	7/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	4
2	1.0	1	1	1/2	1/2	4/4	1	2	1/4		1/4	1	0	5	59	B3	3	11
2	1.0	1	1	1/2	1/2	4/4	1	1	1/4		1/4	1		2	62	D4	4	5
9/4	0.25	1	1	9/16	9/16	4/4	2	2	1/16		1/16	1		3	57	A3	3	18
5/2	0.25	1	1	5/8	5/8	4/4	2	2	1/16		1/16	1		8	56	G#3	3	19
11/4	0.25	1	1	11/16	11/16	4/4	2	2	1/16		1/16	1		6	54	F#3	3	20
3	0.5	1	1	3/4	3/4	4/4	2	2	1/8		1/8	1		8	56	G#3	3	21
3	1.0	1	1	3/4	3/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	14
3	0.25	1	1	3/4	3/4	4/4	1	2	1/16		1/16	1	-1	5	59	B3	3	12
3	0.25	1	1	3/4	3/4	4/4	1	1	1/16		1/16	1		2	62	D4	4	6
13/4	0.25	1	1	13/16	13/16	4/4	1	1	1/16		1/16	1		2	62	D4	4	7
7/2	0.5	1	1	7/8	7/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	22
7/2	0.25	1	1	7/8	7/8	4/4	1	1	1/16		1/16	1		7	61	C#4	4	8
15/4	0.25	1	1	15/16	15/16	4/4	1	1	1/16		1/16	1	1	5	59	B3	3	9
4	1.0	2	2	0	0	4/4	2	2	1/4		1/4	1		3	57	A3	3	45
4	0.25	2	2	0	0	4/4	1	1	1/16		1/16	1	-1	5	59	B3	3	23
17/4	0.25	2	2	1/16	1/16	4/4	1	1	1/16		1/16	1		5	59	B3	3	24
17/4	0.25	2	2	1/16	1/16	4/4	1	2	1/16		1/16	1	1	5	59	B3	3	37
9/2	0.25	2	2	1/8	1/8	4/4	1	2	1/16		1/16	1	-1	5	59	B3	3	38
9/2	0.5	2	2	1/8	1/8	4/4	1	1	1/8		1/8	1	1	7	61	C#4	4	25
19/4	0.25	2	2	3/16	3/16	4/4	1	2	1/16		1/16	1		5	59	B3	3	39
5	1.0	2	2	1/4	1/4	4/4	2	2	1/4		1/4	1		7	49	C#3	3	46
5	0.25	2	2	1/4	1/4	4/4	1	2	1/16		1/16	1		3	57	A3	3	40
5	0.25	2	2	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	7	61	C#4	4	26
21/4	0.25	2	2	5/16	5/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	27
11/2	0.5	2	2	3/8	3/8	4/4	2	1	1/8		1/8	1		4	52	E3	3	43
11/2	0.25	2	2	3/8	3/8	4/4	1	1	1/16		1/16	1		2	62	D4	4	28
23/4	0.25	2	2	7/16	7/16	4/4	1	1	1/16		1/16	1		4	64	E4	4	29
6	0.75	2	2	1/2	1/2	4/4	2	2	3/16		1/8	3/2		2	50	D3	3	47
6	1.0	2	2	1/2	1/2	4/4	2	1	1/4		1/4	1		6	54	F#3	3	44
6	1.0	2	2	1/2	1/2	4/4	1	2	1/4		1/4	1		3	57	A3	3	41
25/4	0.25	2	2	9/16	9/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	30
13/2	0.5	2	2	5/8	5/8	4/4	1	1	1/8		1/8	1		5	59	B3	3	31
27/4	0.25	2	2	11/16	11/16	4/4	2	2	1/16		1/16	1		4	52	E3	3	48
7	0.75	2	2	3/4	3/4	4/4	2	2	3/16		1/8	3/2		9	51	D#3	3	49
85/12	0.041666666666666664	2	2	37/48	37/48	4/4	1	1	1/96		1/64	2/3		8	56	G#3	3	32
57/8	0.041666666666666664	2	2	25/32	25/32	4/4	1	1	1/96		1/64	2/3	1	6	54	F#3	3	33
43/6	0.041666666666666664	2	2	19/24	19/24	4/4	1	1	1/96		1/64	2/3		8	56	G#3	3	34
173/24	0.041666666666666664	2	2	77/96	77/96	4/4	1	1	1/96		1/64	2/3	1	3	57	A3	3	35
29/4	0.75	2	2	13/16	13/16	4/4	1	2	3/16		1/8	3/2	0	6	54	F#3	3	42
29/4	0.75	2	2	13/16	13/16	4/4	1	2	3/16		1/8	3/2	0	3	57	A3	3	42
29/4	0.75	2	2	13/16	13/16	4/4	1	1	3/16		1/8	3/2	1	5	59	B3	3	36
31/4	0.25	2	2	15/16	15/16	4/4	2	2	1/16		1/16	1		5	47	B2	2	50
8	1.0	3	3	0	0	4/4	2	2	1/4		1/4	1		4	52	E3	3	72
8	2.0	3	3	0	0	4/4	2	1	1/2		1/2	1		4	52	E3	3	70
8	0.75	3	3	0	0	4/4	1	2	3/16		1/8	3/2	-1	6	54	F#3	3	61
8	0.75	3	3	0	0	4/4	1	2	3/16		1/8	3/2	-1	3	57	A3	3	61
8	1.0	3	3	0	0	4/4	1	1	1/4		1/4	1	0	5	59	B3	3	51
35/4	0.08333333333333333	3	3	3/16	3/16	4/4	1	2	1/48		1/32	2/3		3	57	A3	3	62
53/6	0.08333333333333333	3	3	5/24	5/24	4/4	1	2	1/48		1/32	2/3		8	56	G#3	3	63
107/12	0.08333333333333333	3	3	11/48	11/48	4/4	1	2	1/48		1/32	2/3		6	54	F#3	3	64
9	1.0	3	3	1/4	1/4	4/4	2	2	1/4		1/4	1		4	40	E2	2	73
9	0.75	3	3	1/4	1/4	4/4	1	2	3/16		1/8	3/2		8	56	G#3	3	65
9	0.25	3	3	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	5	59	B3	3	52
37/4	0.25	3	3	5/16	5/16	4/4	1	1	1/16		1/16	1		5	59	B3	3	53
19/2	0.5	3	3	3/8	3/8	4/4	1	1	1/8		1/8	1	1	4	64	E4	4	54
39/4	0.25	3	3	7/16	7/16	4/4	1	2	1/16		1/16	1	1	8	56	G#3	3	66
10	1.0	3	3	1/2	1/2	4/4	2	2	1/4		1/4	1		6	54	F#3	3	74
10	0.25	3	3	1/2	1/2	4/4	1	2	1/16		1/16	1	-1	8	56	G#3	3	67
10	0.75	3	3	1/2	1/2	4/4	1	1	3/16		1/8	3/2	-1	4	64	E4	4	55
41/4	0.25	3	3	9/16	9/16	4/4	1	2	1/16		1/16	1		8	56	G#3	3	68
21/2	0.5	3	3	5/8	5/8	4/4	1	2	1/8		1/8	1		3	57	A3	3	69
43/4	0.08333333333333333	3	3	11/16	11/16	4/4	1	1	1/48		1/32	2/3		2	62	D4	4	56
65/6	0.08333333333333333	3	3	17/24	17/24	4/4	1	1	1/48		1/32	2/3		7	61	C#4	4	57
131/12	0.08333333333333333	3	3	35/48	35/48	4/4	1	1	1/48		1/32	2/3		2	62	D4	4	58
11	0.5	3	3	3/4	3/4	4/4	2	2	1/8		1/8	1		8	56	G#3	3	75
11	1.0	3	3	3/4	3/4	4/4	2	1	1/4		1/4	1		8	56	G#3	3	71
11	0.75	3	3	3/4	3/4	4/4	1	1	3/16		1/8	3/2		2	62	D4	4	59
23/2	0.5	3	3	7/8	7/8	4/4	2	2	1/8		1/8	1		4	52	E3	3	76
47/4	0.25	3	3	15/16	15/16	4/4	1	1	1/16		1/16	1		7	61	C#4	4	60
12	0.75	4	4	0	0	4/4	2	1	3/16		1/8	3/2		3	57	A3	3	90
12	0.25	4	4	0	0	4/4	1	2	1/16		1/16	1		7	61	C#4	4	84
12	2.0	4	4	0	0	4/4	1	1	1/2		1/2	1		7	61	C#4	4	77
49/4	0.25	4	4	1/16	1/16	4/4	1	2	1/16		1/16	1		5	59	B3	3	85
25/2	0.5	4	4	1/8	1/8	4/4	1	2	1/8		1/8	1	1	3	57	A3	3	86
51/4	0.08333333333333333	4	4	3/16	3/16	4/4	2	1	1/48		1/32	2/3		3	45	A2	2	91
77/6	0.08333333333333333	4	4	5/24	5/24	4/4	2	1	1/48		1/32	2/3		8	44	G#2	2	92
155/12	0.08333333333333333	4	4	11/48	11/48	4/4	2	1	1/48		1/32	2/3		3	45	A2	2	93
13	0.75	4	4	1/4	1/4	4/4	2	1	3/16		1/8	3/2		3	45	A2	2	94
