mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	0	11/16	1/16		1/16	1		7	61	1	1	
1	0	3/4	3/16		1/8	3/2		2	62	1	1	
1	0	15/16	1/16		1/16	1	1	4	64	1	1	
2	1	0	1.0		1.0	1		2	50	2	1	
2	1	0	1/8		1/8	1	-1	4	64	1	1	
2	1	1/8	1/8		1/8	1		4	64	1	1	
2	1	1/4	1/8		1/8	1		-1	65	1	2	
2	1	1/4	1/4		1/4	1	1	-1	65	1	1	
2	1	3/8	1/8		1/8	1	1	2	62	1	2	
2	1	1/2	1/2		1/2	1		2	38	2	2	
2	1	1/2	3/16		1/8	3/2		3	57	1	2	
2	1	1/2	3/16		1/8	3/2	-1	2	62	1	2	
2	1	1/2	3/16		1/8	3/2	-1	-1	65	1	1	
2	1	11/16	1/16		1/16	1		-1	65	1	1	
2	1	3/4	3/16		1/8	3/2		1	67	1	1	
2	1	15/16	1/16		1/16	1	1	3	69	1	1	
3	2	0	1/2		1/2	1	1	4	52	2	2	
3	2	0	3/16		1/8	3/2	-1	3	69	1	1	
3	2	3/16	1/16		1/16	1		3	69	1	1	
3	2	1/4	1/8		1/8	1		2	62	1	1	
3	2	3/8	1/8		1/8	1	1	7	61	1	1	
3	2	7/16	1/48		1/32	2/3		1	55	2	1	
3	2	7/16	1/16		1/16	1	1	1	55	2	3	
3	2	11/24	1/48		1/32	2/3		3	57	2	1	
3	2	23/48	1/48		1/32	2/3		-2	58	2	1	
3	2	1/2	1/2		1/2	1	-1	4	52	2	2	
3	2	1/2	1/2		1/2	1	-1	1	55	2	3	
3	2	1/2	1/2		1/2	1	1	3	57	2	1	
3	2	1/2	3/16		1/8	3/2	-1	7	61	1	1	
3	2	11/16	1/16		1/16	1		7	61	1	1	
3	2	3/4	3/16		1/8	3/2		2	62	1	1	
3	2	15/16	1/16		1/16	1	1	4	64	1	1	
4	3	0	1/2		1/2	1		-1	53	2	2	
4	3	0	1/4		1/4	1	-1	3	57	2	1	
4	3	0	1/8		1/8	1	-1	4	64	1	1	
4	3	1/8	1/8		1/8	1		4	64	1	1	
4	3	1/4	1/8		1/8	1		2	62	1	2	
4	3	1/4	1/4		1/4	1	1	2	62	1	1	
4	3	3/8	1/8		1/8	1	1	3	57	1	2	
4	3	1/2	0	appoggiatura	1/8	1		1	55	2	2	
4	3	1/2	1/2		1/2	1		6	54	2	2	
4	3	1/2	3/16		1/8	3/2	-1	3	57	1	2	
4	3	1/2	3/16		1/8	3/2	-1	2	62	1	1	
4	3	11/16	1/16		1/16	1		3	69	1	1	
4	3	3/4	1/4		1/4	1		3	57	2	1	
4	3	3/4	3/16		1/8	3/2		-2	70	1	1	
4	3	15/16	1/16		1/16	1		0	72	1	1	
5	4	0	0	appoggiatura	1/8	1		0	72	1	1	
5	4	0	1.0		1.0	1		1	55	2	2	
5	4	0	1/4		1/4	1	1	-2	70	1	1	
5	4	3/16	1/16		1/16	1		2	62	2	1	
5	4	1/4	3/16		1/8	3/2		4	64	2	1	
5	4	1/4	3/16		1/8	3/2	-1	-2	70	1	1	
5	4	7/16	1/16		1/16	1	1	-1	65	2	1	
5	4	7/16	1/16		1/16	1		3	69	1	1	
5	4	1/2	3/16		1/8	3/2	-1	-1	65	2	1	
5	4	1/2	1/4		1/4	1		3	69	1	1	
5	4	11/16	1/16		1/16	1		-1	65	2	1	
5	4	3/4	1/8		1/8	1		4	64	2	1	
5	4	3/4	3/16		1/8	3/2		1	67	1	1	
5	4	7/8	1/8		1/8	1		2	62	2	1	
5	4	15/16	1/16		1/16	1	1	-1	65	1	1	
6	5	0	1/2		1/2	1		3	57	2	2	
6	5	0	1/4		1/4	1	1	2	62	2	1	
6	5	0	1/8		1/8	1	-1	-1	65	1	1	
6	5	1/8	1/8		1/8	1		-1	65	1	1	
6	5	1/4	3/16		1/8	3/2	-1	2	62	2	1	
6	5	1/4	1/4		1/4	1	1	4	64	1	1	
6	5	7/16	1/16		1/16	1		2	62	2	1	
6	5	1/2	0	appoggiatura	1/8	1		2	62	1	2	
6	5	1/2	1/2		1/2	1		3	45	2	2	
6	5	1/2	1/2		1/2	1	1	3	57	2	1	
6	5	1/2	1/2		1/2	1	1	0	60	1	2	
6	5	1/2	3/16		1/8	3/2	-1	4	64	1	1	
6	5	11/16	1/16		1/16	1		4	64	1	1	
6	5	3/4	3/16		1/8	3/2		-1	65	1	1	
6	5	15/16	1/16		1/16	1	1	1	67	1	1	
7	6	0	1/2		1/2	1		2	50	2	2	
7	6	0	1/4		1/4	1	-1	3	57	2	1	
7	6	0	1/4		1/4	1	0	0	60	1	2	
7	6	0	1/8		1/8	1	-1	1	67	1	1	
7	6	1/8	1/8		1/8	1		1	67	1	1	
7	6	1/4	1/16		1/16	1	-1	0	60	1	2	
7	6	1/4	1/4		1/4	1		6	66	1	1	
7	6	5/16	1/16		1/16	1		0	60	1	2	
7	6	3/8	1/16		1/16	1		2	62	1	2	
7	6	7/16	1/16		1/16	1		3	57	1	2	
7	6	1/2	0	appoggiatura	1/8	1		3	57	1	2	
7	6	1/2	1/2		1/2	1		1	43	2	2	
7	6	1/2	1/2		1/2	1	1	1	55	2	1	
7	6	1/2	1/2		1/2	1	1	-2	58	1	2	
7	6	11/16	1/16		1/16	1		2	62	1	1	
7	6	3/4	3/16		1/8	3/2		4	64	1	1	
7	6	15/16	1/16		1/16	1	1	-1	65	1	1	
8	7	0	1/2		1/2	1		0	48	2	2	
8	7	0	1/4		1/4	1	-1	1	55	2	1	
8	7	0	1/4		1/4	1	0	-2	58	1	2	
8	7	0	1/8		1/8	1	-1	-1	65	1	1	
8	7	1/8	1/8		1/8	1		-1	65	1	1	
8	7	1/4	1/16		1/16	1	-1	-2	58	1	2	
8	7	1/4	1/4		1/4	1		4	64	1	1	
8	7	5/16	1/16		1/16	1		-2	58	1	2	
8	7	3/8	1/16		1/16	1		0	60	1	2	
8	7	7/16	1/16		1/16	1		1	55	1	2	
8	7	1/2	0	appoggiatura	1/8	1		1	55	1	2	
8	7	1/2	1/2		1/2	1		-1	41	2	2	
8	7	1/2	1/2		1/2	1	1	-1	53	2	1	
8	7	1/2	1/2		1/2	1	1	3	57	1	2	
8	7	11/16	1/16		1/16	1		0	60	1	1	
8	7	3/4	3/16		1/8	3/2		2	62	1	1	
8	7	15/16	1/16		1/16	1		-3	63	1	1	
9	8	0	0	appoggiatura	1/8	1		-3	63	1	1	
9	8	0	3/8		1/4	3/2		-2	46	2	2	
9	8	0	1/4		1/4	1	-1	-1	53	2	1	
9	8	0	1/4		1/4	1	-1	3	57	1	2	
9	8	0	1/4		1/4	1		2	62	1	1	
9	8	1/4	1/8		1/8	1		1	55	1	2	
9	8	1/4	3/16		1/8	3/2		4	64	1	1	
9	8	3/8	1/8		1/8	1		-1	41	2	2	
9	8	3/8	1/8		1/8	1	1	3	57	1	2	
