quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.0	1	1	0	0	4/4	2	1	C.I		C	I		I	I							M	0	0	0, 4, 1		0	0
4	1.0	2	2	0	0	4/4	2	1	V(64)		C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
5	2.0	2	2	1/4	1/4	4/4	2	1	V(4)		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
7	0.5	2	2	3/4	3/4	4/4	2	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
15/2	0.5	2	2	7/8	7/8	4/4	2	1	iii6		C	I		iii6	iii		6					m	0	0	1, 5, 4		4	1
8	1.0	3	3	0	0	4/4	2	1	IV6(1172)		C	I		IV6(1172)	IV		6	1172				M	0	0	3, 0, 1, 4	5	-1	3
9	1.0	3	3	1/4	1/4	4/4	2	1	IV6(112)		C	I		IV6(112)	IV		6	112				M	0	0	3, 0, 1	5	-1	3
10	1.0	3	3	1/2	1/2	4/4	2	1	IV6(11)		C	I		IV6(11)	IV		6	11				M	0	0	3, 0, -1	5	-1	3
11	1.0	3	3	3/4	3/4	4/4	2	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	1.0	4	4	0	0	4/4	2	1	V65(+42)		C	I		V65(+42)	V		65	+42				Mm7	0	0	5, 2, -1, 3	0	1	5
13	0.5	4	4	1/4	1/4	4/4	2	1	V65(2)		C	I		V65(2)	V		65	2				Mm7	0	0	5, 2, -1, 3		1	5
27/2	0.5	4	4	3/8	3/8	4/4	2	1	V65		C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
14	1.0	4	4	1/2	1/2	4/4	2	1	I(9)		C	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
15	1.0	4	4	3/4	3/4	4/4	2	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
16	1.0	5	5	0	0	4/4	2	1	ii2(94)		C	I		ii2(94)	ii		2	94				mm7	0	0	0, 2, 1, 3	4	2	0
17	0.5	5	5	1/4	1/4	4/4	2	1	ii2(+4)		C	I		ii2(+4)	ii		2	+4				mm7	0	0	0, 2, -1, 3	1	2	0
35/2	0.5	5	5	3/8	3/8	4/4	2	1	ii2		C	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
18	1.0	5	5	1/2	1/2	4/4	2	1	V65(2)		C	I		V65(2)	V		65	2				Mm7	0	0	5, 2, -1, 3		1	5
19	1.0	5	5	3/4	3/4	4/4	2	1	V65		C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	4.0	6	6	0	0	4/4	2	1	I\\		C	I		I	I						\\	M	0	0	0, 4, 1		0	0
24	1.0	7	7	0	0	4/4	2	1	V.V2(96)		C	V		V2(96)	V		2	96				Mm7	0	0	-1, 1, 5, 4	3	1	-1
25	0.5	7	7	1/4	1/4	4/4	2	1	V2(9)		C	V		V2(9)	V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
51/2	0.5	7	7	3/8	3/8	4/4	2	1	V2		C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
26	1.0	7	7	1/2	1/2	4/4	2	1	I6(7)		C	V		I6(7)	I		6	7				M	0	0	4, 1, 5		0	4
