mc	mn	onset	label
1	1	0	.g.i[
2	2	1/2	v6
2	2	1	iv6(2)
2	2	5/4	iv6
3	3	0	V\\
3	3	1/4	V7
3	3	1/2	III.V/ii
3	3	3/4	V2/ii
3	3	5/4	ii6
4	4	0	ii
4	4	1/4	ii7
4	4	1/2	V7
4	4	3/4	I
4	4	1	ii6(2)
4	4	5/4	ii6
5	5	0	V7
5	5	1/4	V(64)
5	5	1/2	V7
5	5	3/4	V(64)
5	5	5/4	V7
6	6	0	I\\
6	6	3/4	i.V/iv
6	6	1	iv6
7	7	0	IV
7	7	1/2	V/V
7	7	1	v6
8	8	0	V
8	8	1/4	V2
8	8	1/2	ii6
8	8	3/4	V65
8	8	5/4	i
9	9	0	v.i
9	9	1/4	VI6
9	9	1/2	v6(2)
9	9	3/4	v6
9	9	1	iv6(2)
9	9	5/4	iv6
10	10	0	V\\
10	10	1/4	V7
10	10	1/2	V(64)
10	10	3/4	V7
10	10	1	I
10	10	5/4	V7/iv
11	11	0	iv
11	11	1/4	ii%7
11	11	3/8	ii7
11	11	1/2	V7
11	11	3/4	V(64)
11	11	1	V
12	12	0	iv6(2)
12	12	1/4	iv6
12	12	1/2	iv7
12	12	3/4	i.IV(9)
12	12	1	ii6
12	12	5/4	ii7
13	13	0	V7
13	13	1/4	V(64)
13	13	5/8	V
13	13	3/4	iv6(2)
13	13	1	iv6
13	13	5/4	iv7
14	14	0	VII(9)
14	14	1/4	v6
14	14	1/2	v7
14	14	3/4	V7/iv
14	14	1	ivM7
14	14	5/4	iv7
15	15	0	V7/III
15	15	1/4	IIIM7
15	15	3/4	VIM7
15	15	1	ii%7
16	16	0	V7
16	16	1/4	i
16	16	3/4	iv7
16	16	1	ii
17	17	0	V7
17	17	1/2	i6
17	17	3/4	ii%65
17	17	1	V(4)
17	17	5/4	V7(4)
17	17	23/16	V7
18	18	0	I\\
