mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	2	1	A.I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	1.0	1/2	1/2	4/4	2	1	ii2		A	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
1	1	3	1.0	3/4	3/4	4/4	2	1	V65		A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
2	2	4	1.0	0	0	4/4	2	1	I(9)		A	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
2	2	5	1.0	1/4	1/4	4/4	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	2	6	1.0	1/2	1/2	4/4	2	1	ii65		A	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
2	2	7	1.0	3/4	3/4	4/4	2	1	V65/V		A	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
3	3	8	1.0	0	0	4/4	2	1	V(94)		A	I		V(94)	V			94				M	0	0	1, 0, 2	3	1	1
3	3	9	1.0	1/4	1/4	4/4	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
3	3	10	1.0	1/2	1/2	4/4	2	1	IV6(2)		A	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
3	3	11	1.0	3/4	3/4	4/4	2	1	V65		A	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	12	2.0	0	0	4/4	2	1	I|IAC}		A	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
4	4	14	2.0	1/2	1/2	4/4	2	1	vi[i/vi{		A	I	vi	i/vi	i				vi		{	m	0	0	3, 0, 4		3	3
5	5	16	1.0	0	0	4/4	2	1	V65(6)/vi		A	I	vi	V65(6)/vi	V		65	6	vi			Mm7	0	0	8, 0, 2, 4		4	8
5	5	17	1.0	1/4	1/4	4/4	2	1	V7/vi		A	I	vi	V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
5	5	18	1.0	1/2	1/2	4/4	2	1	vi6(9)		A	I	vi	vi6(9)	vi		6	9				m	0	0	0, 4, 3	5	3	0
5	5	19	1.0	3/4	3/4	4/4	2	1	vi]		A	I	vi	vi	vi							m	0	0	3, 0, 4		3	3
