mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/16	.d.V		d	i		V	V						M	1	1	1, 5, 2		1	1
1	0	1/2	i6		d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
1	0	3/4	i		d	i		i	i						m	1	1	0, -3, 1		0	0
2	1	0	V6		d	i		V6	V		6				M	1	1	5, 2, 1		1	5
2	1	1/4	V		d	i		V	V						M	1	1	1, 5, 2		1	1
2	1	1/2	IV65		d	i		IV65	IV		65				Mm7	1	1	3, 0, -3, -1		-1	3
2	1	3/4	V7		d	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
3	2	0	i6		d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
3	2	1/4	i\\		d	i		i	i					\\	m	1	1	0, -3, 1		0	0
3	2	3/8	VI6		d	i		VI6	VI		6				M	1	1	0, -3, -4		-4	0
3	2	1/2	iio		d	i		iio	ii	o					o	1	1	2, -1, -4		2	2
3	2	5/8	VI6		d	i		VI6	VI		6				M	1	1	0, -3, -4		-4	0
3	2	3/4	V7/III		d	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
4	3	0	III\\		d	i		III	III					\\	M	1	1	-3, 1, -2		-3	-3
4	3	1/4	V64		d	i		V64	V		64				M	1	1	2, 1, 5		1	2
4	3	1/2	i		d	i		i	i						m	1	1	0, -3, 1		0	0
4	3	3/4	v.iio64		d	v		iio64	ii	o	64				o	1	1	-4, 2, -1		2	-4
4	3	7/8	iv		d	v		iv	iv						m	1	1	-1, -4, 0		-1	-1
5	4	0	V		d	v		V	V						M	1	1	1, 5, 2		1	1
5	4	1/4	V/iv		d	v		V/iv	V				iv		M	1	1	0, 4, 1		0	0
5	4	3/8	V65/iv		d	v		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
5	4	1/2	V/VII		d	v		V/VII	V				VII		M	1	1	-1, 3, 0		-1	-1
5	4	3/4	VII6		d	v		VII6	VII		6				M	1	1	2, -1, -2		-2	2
5	4	7/8	iio		d	v		iio	ii	o					o	1	1	2, -1, -4		2	2
6	5	0	V65		d	v		V65	V		65				Mm7	1	1	5, 2, -1, 1		1	5
6	5	1/4	i		d	v		i	i						m	1	1	0, -3, 1		0	0
