mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.C.I		C	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0	V(64)		C	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
2	2	1/4	V(4)		C	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
2	2	3/4	V		C	I		V	V						M	0	0	1, 5, 2		1	1
2	2	7/8	iii6		C	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
3	3	0	IV6(1172)		C	I		IV6(1172)	IV		6	1172			M	0	0	3, 0, 1	5	-1	3
3	3	1/4	IV6(112)		C	I		IV6(112)	IV		6	112			M	0	0	3, 0, 1	5	-1	3
3	3	1/2	IV6(11)		C	I		IV6(11)	IV		6	11			M	0	0	3, 0, -1	5	-1	3
3	3	3/4	IV6		C	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
4	4	0	V65(+42)		C	I		V65(+42)	V		65	+42			Mm7	0	0	5, 2, -1, 3	0	1	5
4	4	1/4	V65(2)		C	I		V65(2)	V		65	2			Mm7	0	0	5, 2, -1, 3		1	5
4	4	3/8	V65		C	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
4	4	1/2	I(9)		C	I		I(9)	I			9			M	0	0	0, 4, 1	2	0	0
4	4	3/4	I		C	I		I	I						M	0	0	0, 4, 1		0	0
5	5	0	ii2(94)		C	I		ii2(94)	ii		2	94			mm7	0	0	0, 2, 1, 3	4	2	0
5	5	1/4	ii2(+4)		C	I		ii2(+4)	ii		2	+4			mm7	0	0	0, 2, -1, 3	1	2	0
5	5	3/8	ii2		C	I		ii2	ii		2				mm7	0	0	0, 2, -1, 3		2	0
5	5	1/2	V65(2)		C	I		V65(2)	V		65	2			Mm7	0	0	5, 2, -1, 3		1	5
5	5	3/4	V65		C	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
6	6	0	I\\		C	I		I	I					\\	M	0	0	0, 4, 1		0	0
7	7	0	V.V2(96)		C	V		V2(96)	V		2	96			Mm7	0	0	-1, 1, 5, 4	3	1	-1
7	7	1/4	V2(9)		C	V		V2(9)	V		2	9			Mm7	0	0	-1, 1, 5, 2	3	1	-1
7	7	3/8	V2		C	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	1/2	I6(7)		C	V		I6(7)	I		6	7			M	0	0	4, 1, 5		0	4
7	7	3/4	I6		C	V		I6	I		6				M	0	0	4, 1, 0		0	4
8	8	0	ii7(9)		C	V		ii7(9)	ii		7	9			mm7	0	0	2, -1, 3, 0	4	2	2
8	8	1/4	ii7		C	V		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
8	8	1/2	V43(4)		C	V		V43(4)	V		43	4			Mm7	0	0	2, -1, 1, 0		1	2
8	8	7/8	V43		C	V		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
9	9	0	I(74)		C	V		I(74)	I			74			M	0	0	0, -1, 1	5	0	0
9	9	1/4	I(4)		C	V		I(4)	I			4			M	0	0	0, -1, 1		0	0
9	9	3/8	I\\		C	V		I	I					\\	M	0	0	0, 4, 1		0	0
9	9	7/8	vi6		C	V		vi6	vi		6				m	0	0	0, 4, 3		3	0
10	10	0	I.ii(9)		C	I		ii(9)	ii			9			m	0	0	2, -1, 3	4	2	2
10	10	1/4	ii		C	I		ii	ii						m	0	0	2, -1, 3		2	2
10	10	7/8	viio6		C	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
11	11	0	IV6(+4)		C	I		IV6(+4)	IV		6	+4			M	0	0	3, 0, -1	5	-1	3
11	11	1/4	IV6		C	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
12	12	0	I6(+4)		C	I		I6(+4)	I		6	+4			M	0	0	4, 1, 0	-1	0	4
12	12	1/4	I6		C	I		I6	I		6				M	0	0	4, 1, 0		0	4
12	12	7/8	V65/IV		C	I		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
13	13	0	ii6(11b62)		C	I		ii6(11b62)	ii		6	11b62			m	0	0	-1, -2, 4	1	2	-1
13	13	1/4	ii6(112)		C	I		ii6(112)	ii		6	112			m	0	0	-1, 3, 4	1	2	-1
13	13	1/2	ii6(11)		C	I		ii6(11)	ii		6	11			m	0	0	-1, 3, 2	1	2	-1
13	13	3/4	ii6		C	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
14	14	0	V7(9)		C	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
14	14	1/4	V7		C	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
14	14	1/2	V7(4+3)		C	I		V7(4+3)	V		7	4+3			Mm7	0	0	1, 0, 2, -1	0	1	1
14	14	3/4	V(64+3)		C	I		V(64+3)	V			64+3			M	0	0	1, 0, 4	0	1	1
14	14	7/8	V(64)		C	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
15	15	0	V(116)		C	I		V(116)	V			116			M	0	0	1, 5, 4	0	1	1
15	15	1/4	V7		C	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
15	15	1/2	V7(4)		C	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
15	15	5/8	V(+64)		C	I		V(+64)	V			+64			M	0	0	1, 0, 2	4	1	1
15	15	3/4	V(64)		C	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
16	16	0	viio64		C	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
16	16	1/4	V2\\		C	I		V2	V		2			\\	Mm7	0	0	-1, 1, 5, 2		1	-1
16	16	1/2	I6	I6(2)	C	I		I6	I		6				M	0	0	4, 1, 0		0	4
16	16	3/4	V43/ii		C	I		V43/ii	V		43		ii		Mm7	0	0	4, 1, 3, 7		3	4
17	17	0	ii6(9#7+4)		C	I		ii6(9#7+4)	ii		6	9#7+4			m	0	0	-1, 3, 7	4, 1	2	-1
17	17	3/8	ii6(#7+4)		C	I		ii6(#7+4)	ii		6	#7+4			m	0	0	-1, 3, 7	1	2	-1
17	17	1/2	ii6		C	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
18	18	0	V7(9)		C	I		V7(9)	V		7	9			Mm7	0	0	1, 5, 2, -1	3	1	1
18	18	3/8	V7		C	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
18	18	1/2	V(+6)		C	I		V(+6)	V			+6			M	0	0	1, 5, 2	4	1	1
18	18	3/4	V(64)		C	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
19	19	1/4	V(4)		C	I		V(4)	V			4			M	0	0	1, 0, 2		1	1
19	19	5/8	V7(4)		C	I		V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
19	19	7/8	V7		C	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
