mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	2	1	C.I	C	I		I	I							M	0	0	0, 4, 1		0	0
2	2	4	1.0	0	0	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
2	2	5	2.0	1/4	1/4	4/4	2	1	V(4)	C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
2	2	7	1.0	3/4	3/4	4/4	2	1	V	C	I		V	V							M	0	0	1, 5, 2		1	1
3	3	8	3.0	0	0	4/4	2	1	IV6(1172)	C	I		IV6(1172)	IV		6	1172				M	0	0	3, 0, 1, 4	5	-1	3
3	3	11	1.0	3/4	3/4	4/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
4	4	12	2.0	0	0	4/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	14	2.0	1/2	1/2	4/4	2	1	I	C	I		I	I							M	0	0	0, 4, 1		0	0
5	5	16	2.0	0	0	4/4	2	1	ii2	C	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
5	5	18	2.0	1/2	1/2	4/4	2	1	V65	C	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
6	6	20	4.0	0	0	4/4	2	1	I\\	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
7	7	24	2.0	0	0	4/4	2	1	V.V2	C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	7	26	2.0	1/2	1/2	4/4	2	1	I6	C	V		I6	I		6					M	0	0	4, 1, 0		0	4
8	8	28	2.0	0	0	4/4	2	1	ii7	C	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	8	30	1.5	1/2	1/2	4/4	2	1	V7(4)	C	V		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
8	8	63/2	0.5	7/8	7/8	4/4	2	1	V7	C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	9	32	4.0	0	0	4/4	2	1	I\\	C	V		I	I						\\	M	0	0	0, 4, 1		0	0
10	10	36	1.0	0	0	4/4	2	1	I.ii(9)	C	I		ii(9)	ii			9				m	0	0	2, -1, 3	4	2	2
10	10	37	3.0	1/4	1/4	4/4	2	1	ii	C	I		ii	ii							m	0	0	2, -1, 3		2	2
11	11	40	4.0	0	0	4/4	2	1	IV6	C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	12	44	3.5	0	0	4/4	2	1	I6	C	I		I6	I		6					M	0	0	4, 1, 0		0	4
12	12	95/2	0.5	7/8	7/8	4/4	2	1	V65/IV	C	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
13	13	48	3.0	0	0	4/4	2	1	ii6(11b62)	C	I		ii6(11b62)	ii		6	11b62				m	0	0	-1, -2, 4	1	2	-1
13	13	51	1.0	3/4	3/4	4/4	2	1	ii6	C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
14	14	52	2.0	0	0	4/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	54	2.0	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
15	15	56	3.0	0	0	4/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	59	1.0	3/4	3/4	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
16	16	60	2.0	0	0	4/4	2	1	V2	C	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
16	16	62	2.0	1/2	1/2	4/4	2	1	ii.V43	C	ii		V43	V		43					Mm7	0	1	2, -1, 1, 5		1	2
17	17	64	2.0	0	0	4/4	2	1	i6(119#7)	C	ii		i6(119#7)	i		6	119#7				m	0	1	-3, 1, 5	-1, 2	0	-3
17	17	66	2.0	1/2	1/2	4/4	2	1	i6	C	ii		i6	i		6					m	0	1	-3, 1, 0		0	-3
18	18	68	1.5	0	0	4/4	2	1	I.V7(9)	C	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
18	18	139/2	0.5	3/8	3/8	4/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
18	18	70	3.0	1/2	1/2	4/4	2	1	V(64)	C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
19	19	73	1.5	1/4	1/4	4/4	2	1	V(4)	C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
19	19	149/2	1.0	5/8	5/8	4/4	2	1	V7(4)	C	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
19	19	151/2	0.5	7/8	7/8	4/4	2	1	V7	C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	76	1.0	0	0	4/4	2	1	I(74)	C	I		I(74)	I			74				M	0	0	0, -1, 1	5	0	0
20	20	77	0.5	1/4	1/4	4/4	2	1	I(4)	C	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
20	20	155/2	2.5	3/8	3/8	4/4	2	1	I\\	C	I		I	I						\\	M	0	0	0, 4, 1		0	0
