quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.5	1	1	0	0	3/8	2	1	b.i	b	i		i	i							m	1	1	0, -3, 1		0	0
3/2	1.0	2	2	0	0	3/8	2	1	V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
5/2	0.5	2	2	1/4	1/4	3/8	2	1	v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	1.0	3	3	0	0	3/8	2	1	IV6	b	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
4	0.5	3	3	1/4	1/4	3/8	2	1	iv6	b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
9/2	1.0	4	4	0	0	3/8	2	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
11/2	0.5	4	4	1/4	1/4	3/8	2	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	0.5	5	5	0	0	3/8	2	1	iio6	b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
13/2	0.5	5	5	1/8	1/8	3/8	2	1	V(64)	b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
7	0.5	5	5	1/4	1/4	3/8	2	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
15/2	0.5	6	6	0	0	3/8	2	1	i\\	b	i		i	i						\\	m	1	1	0, -3, 1		0	0
8	1.0	6	6	1/8	1/8	3/8	2	1	VI6	b	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
9	0.5	7	7	0	0	3/8	2	1	V6(9)	b	i		V6(9)	V		6	9				M	1	1	5, 2, 1	-4	1	5
19/2	0.5	7	7	1/8	1/8	3/8	2	1	V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
10	0.5	7	7	1/4	1/4	3/8	2	1	v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
21/2	0.5	8	8	0	0	3/8	2	1	IV6(9)	b	i		IV6(9)	IV		6	9				M	1	1	3, 0, -1	1	-1	3
