mc	mn	onset	label
1	0	11/16	.d.i
2	1	0	i
3	2	0	V43
4	3	0	i6(2)
4	3	1/4	i6
4	3	1/2	V6/iv
5	4	0	iv
5	4	1/2	iv7(9)
5	4	3/4	iv
6	5	0	V(64)
6	5	1/4	V(4)
6	5	1/2	v
6	5	3/4	v7
7	6	0	V7(4)/iv
7	6	1/4	V7/iv
7	6	1/2	iv\\
7	6	3/4	III.ii7
8	7	0	V7(4)
8	7	1/4	V7
8	7	1/2	I
8	7	3/4	V7/IV
9	8	0	IVM7
9	8	1/4	viio64
9	8	3/8	I(7)
9	8	7/16	I
9	8	1/2	V(64)
9	8	3/4	V7(4)
9	8	15/16	V7
10	9	0	I\\
11	10	0	i.V65/iv
11	10	1/2	V7/iv
12	11	0	iv\\
12	11	11/16	IV
13	12	0	V65/v
13	12	1/2	V7/v
14	13	0	V
14	13	1/2	i
14	13	3/4	i6
15	14	0	ii%56(119)
15	14	1/2	ii°6
16	15	0	i6(11#72)
16	15	1/2	i6
17	16	0	ii%65
17	16	1/2	V(64)
18	17	1/2	V
19	18	0	i\\
